SITE ID,PLOT,COMMUNITY,ROBEL (cm),,,,,Scientific,Common,% Cover,FWR/SEED,N/E/I/T/U,Max LH (cm),Comments
REF-02-001,10-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,67,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,2,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,0.5,,E,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,10-Jan,1,,,,,#DIV/0!,,ground,28.5,,,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,43,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Phalaris arundinacea,reed canarygrass,10,,I,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Alisma sp.,water-plantain,0.5,,U,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,1,,E,,
REF-02-001,24-Jan,1,,,,,#DIV/0!,,ground,41.5,,,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,50,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Phalaris arundinacea,reed canarygrass,11,,I,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,0.5,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,2,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,Equisetum fluvitale,swamp horsetail,0.5,,N,,
REF-02-001,22-Jan,1,,,,,#DIV/0!,,ground,34,,,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,60,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Agrostis stolonifera,creeping bentgrass ,1,,E,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,1,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,1,,E,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,21-Jan,1,,,,,#DIV/0!,,ground,34.5,,,,
REF-02-001,5-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,50,,N,,
REF-02-001,5-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,1,,N,,
REF-02-001,5-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,5-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,15,,E,,
REF-02-001,5-Jan,1,,,,,#DIV/0!,,ground,33,,,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,55,,N,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,2,,U,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,15,,E,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Eleocharis parvula,small spike-rush,0.5,,T,,
REF-02-001,23-Jan,1,,,,,#DIV/0!,Lythrum salicaria,purple loosestrife,1,,I,,Curly stem
REF-02-001,8-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,65,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,3,,E,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,13,,U,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,4,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Trifolium wormskioldii,springbank clover,1,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Ranunculus flammula ,lesser spearwort,5,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,0.5,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,0.8,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,0.5,,N,,
REF-02-001,8-Jan,1,,,,,#DIV/0!,,ground,12,,,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,33,,N,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,4,,N,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,2,,N,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,5,,E,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Eleocharis parvula,small spike-rush,0.5,,T,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Juncus articulatus,jointed rush,5,,N,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,2,,N,,
REF-02-001,6-Jan,1,,,,,#DIV/0!,,ground,48.5,,,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,75,,N,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,7,,N,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,5,,E,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,1,,N,,
REF-02-001,25-Jan,1,,,,,#DIV/0!,,ground,11,,,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,85,,N,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,7,,N,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Lythrum salicaria,purple loosestrife,1,,I,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,5,,E,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,0.5,,N,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Mentha aquatica,water mint,1,,E,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,,ground,5,,,,
REF-02-001,1-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,0.5,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,57,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,22,,U,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,3,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,4,,E,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,0.5,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Ranunculus flammula ,lesser spearwort,1,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,0.5,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Myosotis scorpioides,European forget-me-not,0.5,,E,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,17-Jan,1,,,,,#DIV/0!,,ground,10.5,,,,
REF-02-001,13-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,70,,N,,
REF-02-001,13-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,3,,E,,
REF-02-001,13-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,2,,N,,
REF-02-001,13-Jan,1,,,,,#DIV/0!,Ranunculus flammula ,lesser spearwort,0.5,,N,,Leaves more rounded that last one.
REF-02-001,13-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,T,,
REF-02-001,13-Jan,1,,,,,#DIV/0!,,ground,24,,,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,75,,N,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,16,Y,U,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,2,,N,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,3,,N,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,2,,E,,
REF-02-001,19-Jan,1,,,,,#DIV/0!,,ground,12,,,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,77,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Symphyotrichum subspicatum ,Douglas' aster,6,Y,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Myosotis scorpioides,European forget-me-not,3,,E,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,8,,E,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,1,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,3,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,0.5,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,20-Jan,1,,,,,#DIV/0!,,ground,8,,,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,77,,N,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Myosotis scorpioides,European forget-me-not ,30,Y,E,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Galium trifidum,small spike-rush,10,,T,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,9,,E,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,1,,N,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,3-Jan,1,,,,,#DIV/0!,Mimulus guttatus,yellow monkey-flower,2,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,75,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,2,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Epilobium ciliatum,purple-leaved willowherb,2,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,12,,E,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Myosotis scorpioides,European forget-me-not ,10,,E,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,3,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Mimulus guttatus,yellow monkey-flower,2,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,5,,U,,
REF-02-001,4-Jan,1,,,,,#DIV/0!,,ground,4,,,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,70,,N,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Rumex aquatica,western dock,2,,E,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Lycopus sp.,horehound,8,,U,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,2,,N,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Mimulus guttatus,yellow monkey-flower,1,,N,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,3,,E,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,15,,E,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,9,,N,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,1,,N,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,Juncus oxymeris,pointed rush,1,,T,,
REF-02-001,15-Jan,1,,,,,#DIV/0!,,ground,4,,,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,15,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,40,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Schoenoplectus tabernaemontani,soft-stemmed bulrush,3,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,1,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Juncus supiniformis,spreading rush,3,Y,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,6,,E,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,3,,E,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,0.5,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,0.5,,N,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,7-Jan,1,,,,,#DIV/0!,,ground,27,,,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,75,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,12,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Epilobium ciliatum,purple-leaved willowherb,2,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,2,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,5,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Mimulus guttatus,yellow monkey-flower,1,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,7,,E,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,11-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,1,,E,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,32,,N,116,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Juncus balticus,Baltic rush ,48,,N,110,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Potentilla anserina,common silverweed,7,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Myosotis scorpioides,European forget-me-not ,8,Y,E,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Galium trifidum,small bedstraw,3,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Lilaeopsis occidentalis,western lilaeopsis,0.5,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Mimulus guttatus,yellow monkey-flower,1,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,0.5,,E,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Symphyotrichum subspicatum ,Douglas' aster,1,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,Lythrum salicaria,purple loosestrife,1,,I,,
REF-02-001,9-Jan,1,,,,,#DIV/0!,,ground,10,,,,
REF-02-001,1-Feb,2,,,,,#DIV/0!,Juncus articulatus,jointed rush,33,,N,42,
REF-02-001,1-Feb,2,,,,,#DIV/0!,Sagittaria latifolia,broad-leaved arrowhead,0.5,,N,,
REF-02-001,1-Feb,2,,,,,#DIV/0!,Alisma sp.,water-plantain,0.5,,U,,
REF-02-001,1-Feb,2,,,,,#DIV/0!,Lythrum salicaria,purple loosestrife,1,,I,,
REF-02-001,1-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,1-Feb,2,,,,,#DIV/0!,,ground,64,,,,
REF-02-001,2-Feb,2,0,0,0,0,0,Lilaeopsis occidentalis,western lilaeopsis,0.5,,N,,
REF-02-001,2-Feb,2,,,,,#DIV/0!,Agrostis capillaris,colonial bentgrass ,0.5,,E,,
REF-02-001,2-Feb,2,,,,,#DIV/0!,,ground,99,,,,
REF-02-001,3-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,3-Feb,2,,,,,#DIV/0!,,ground,99,,,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Carex lyngbyei,Lyngbye's sedge ,2,,N,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Lycopus sp.,horehound,1,,U,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Symphyotrichum subspicatum ,Douglas' aster,1,,N,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Juncus balticus,Baltic rush ,1,,N,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Persicaria hydropiper,marshpepper smartweed,1,,E,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,5,,E,,
REF-02-001,4-Feb,2,,,,,#DIV/0!,,ground,89,,,,
REF-02-001,5-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,5-Feb,2,,,,,#DIV/0!,,ground,99.5,,,,
REF-02-001,6-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,7,,E,,
REF-02-001,6-Feb,2,,,,,#DIV/0!,Juncus balticus,Baltic rush ,1,,N,,
REF-02-001,6-Feb,2,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,6-Feb,2,,,,,#DIV/0!,,ground,92,,,,
REF-02-001,7-Feb,2,,,,,#DIV/0!,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,,N,,
REF-02-001,7-Feb,2,,,,,#DIV/0!,Juncus articulatus,jointed rush,1,,N,,
REF-02-001,7-Feb,2,,,,,#DIV/0!,Potentilla anserina,common silverweed,0.5,,N,,
REF-02-001,7-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,7-Feb,2,,,,,#DIV/0!,,ground,97,,,,
REF-02-001,8-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,10,,E,,
REF-02-001,8-Feb,2,,,,,#DIV/0!,,ground,90,,,,
REF-02-001,9-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,9-Feb,2,,,,,#DIV/0!,,ground,99.5,,,,
REF-02-001,10-Feb,2,,,,,#DIV/0!,Juncus articulatus,jointed rush,10,,N,38,
REF-02-001,10-Feb,2,,,,,#DIV/0!,Potentilla anserina,common silverweed,0.5,,N,,
REF-02-001,10-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,0.5,,E,,
REF-02-001,10-Feb,2,,,,,#DIV/0!,,ground,89,,,,
REF-02-001,11-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,11-Feb,2,,,,,#DIV/0!,,ground,99,,,,
REF-02-001,11-Feb,2,,,,,#DIV/0!,Juncus articulatus,jointed rush,0.5,,N,,
REF-02-001,12-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,2,,E,,
REF-02-001,12-Feb,2,,,,,#DIV/0!,,ground,98,,,,
REF-02-001,13-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,5,,E,,
REF-02-001,13-Feb,2,,,,,#DIV/0!,,ground,95,,,,
REF-02-001,14-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,3,,E,,
REF-02-001,14-Feb,2,,,,,#DIV/0!,,ground,97,,,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Eleocharis palustris,common spike-rush,0.5,,N,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Symphyotrichum subspicatum ,Douglas' aster,0.5,,N,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Schoenoplectus tabernaemontani,soft-stemmed bulrush,0.5,,N,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Limosella aquatica,water mudwort,0.5,,N,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Callitriche stagnalis,pond water-starwort,1,,E,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,Juncus balticus,Baltic rush ,0.5,,N,,
REF-02-001,15-Feb,2,,,,,#DIV/0!,,ground,97,,,,
