SITE_ID,RIVER,ARM,REFERENCE,DIST_UPRIVER_KM,CARELYN,IRISPSE,LYTHSAL,PHALARU,TYPHGLA
00-001,Fraser,North,NO,0.443,0,0,0,0,0
01-003-A,Fraser,North,NO,24.561,0,0,0,0,0
01-003-B,Fraser,North,NO,24.427,86,14,43,57,0
01-008,Fraser,North,NO,21.422,25,0,50,10,5
02-001,Fraser,North,NO,10.461,0,4,0,4,0
02-002,Fraser,North,NO,12.358,60,7,47,13,0
02-003-A,Fraser,North,NO,13.054,87,7,67,33,0
02-003-B,Fraser,North,NO,14.255,0,0,73,0,27
02-005-A,Fraser,North,NO,15.831,0,0,90,30,0
02-005-B,Fraser,North,NO,15.965,0,0,44,22,0
02-005-C,Fraser,North,NO,16.052,0,0,25,13,0
02-005-D,Fraser,North,NO,16.143,0,0,50,17,0
02-005-E,Fraser,North,NO,16.219,75,0,25,0,0
02-007-A,Fraser,North,NO,12.403,0,0,50,10,0
02-007-B,Fraser,North,NO,12.671,0,10,30,20,0
02-007-C,Fraser,North,NO,12.799,100,0,60,0,0
02-009,Fraser,North,NO,8.027,0,0,57,43,0
02-011,Fraser,North,NO,8.477,100,0,5,10,25
02-012,Fraser,North,NO,10.317,0,0,0,0,0
02-013,Fraser,North,NO,8.372,100,0,9,9,0
02-014,Fraser,North,NO,8.102,0,0,65,30,95
02-015,Fraser,North,NO,10.297,0,0,100,0,0
03-001A,Fraser,North,NO,5.574,62,31,23,38,8
03-001B,Fraser,Middle,NO,5.808,20,20,20,0,0
03-002,Fraser,South,NO,6.086,0,0,0,0,0
03-003,Fraser,South,NO,6.546,0,13,63,0,0
03-004,Fraser,South,NO,4.895,10,15,20,0,85
03-006,Fraser,South,NO,6.859,0,8,33,8,0
04-001,Fraser,South,NO,2.676,0,0,0,0,0
04-003,Fraser,South,NO,4.025,73,36,45,36,0
04-005,Fraser,South,NO,3.673,0,20,20,0,0
05-001,Fraser,South,NO,6.34,100,10,50,10,0
05-002,Fraser,South,NO,3.224,21,0,11,11,95
08-004A,Serpentine,South,NO,2.064,64,0,0,18,0
08-004B,Serpentine,South,NO,3.304,13,0,0,0,0
08-005A,Nicomekl,South,NO,3.17,0,0,0,0,0
08-005B,Nicomekl,South,NO,3.225,0,0,0,10,0
08-008A,Nicomekl,South,NO,1.941,0,0,0,0,0
08-008B,Nicomekl,South,NO,2.167,0,0,0,0,0
08-008C,Nicomekl,North,NO,2.274,0,0,0,0,0
08-008D,Nicomekl,South,NO,2.305,0,0,0,0,0
08-009-A,Nicomekl,South,NO,4.661,75,0,0,0,0
08-009-B,Nicomekl,South,NO,4.743,29,0,0,0,0
09-001-A,Fraser,South,NO,11.661,0,15,0,0,0
09-001-B,Fraser,South,NO,10.999,0,30,0,0,0
09-002-A,Fraser,South,NO,0.541,100,46,38,8,0
09-002-B,Fraser,North,NO,0.521,0,0,0,0,0
09-003,Fraser,South,NO,10.403,10,20,20,55,60
09-004,Fraser,Main,NO,9.784,80,0,60,0,20
09-006,Fraser,Main,NO,9.825,29,0,43,64,36
09-008-A,Fraser,Main,NO,10.716,0,0,0,80,0
09-008-B,Fraser,Main,NO,10.654,50,10,60,80,0
09-009,Fraser,Main,NO,4.616,73,0,7,0,0
09-013,Fraser,Main,NO,10.592,94,6,6,31,0
09-015,Fraser,Main,NO,11.86,0,0,33,0,0
09-016,Fraser,North,NO,2.061,11,0,0,0,0
09-020,Fraser,North,NO,2.918,68,0,53,37,0
10-002-A,Fraser,Middle,NO,15.062,15,5,10,20,40
10-002-B,Fraser,South,NO,15.504,89,44,22,56,0
10-003,Fraser,South,NO,17.37,0,25,38,13,0
10-004,Fraser,South,NO,14.129,0,0,40,35,0
11-001,Fraser,South,NO,21.208,65,25,50,60,0
11-002,Fraser,Middle,NO,22.674,59,12,53,24,0
11-009,Fraser,North,NO,23.825,86,64,86,57,0
11-010,Fraser,North,NO,22.786,100,0,86,29,0
11-012-A,Fraser,North,NO,18.307,48,32,80,88,0
11-012-B,Fraser,North,NO,18.359,100,14,7,64,0
11-013,Fraser,North,NO,20.93,0,0,78,11,0
11-014,Fraser,North,NO,22.539,100,0,100,0,0
12-001,Fraser,North,NO,24.214,0,40,67,87,0
12-003,Fraser,Middle,NO,23.208,80,0,40,100,0
12-004,Fraser,Main,NO,21.308,0,7,46,39,4
12-007,Fraser,Main,NO,21.028,0,0,10,10,0
13-001,Fraser,Main,NO,24.689,86,14,43,86,0
13-002,Fraser,Main,NO,26.555,4,33,67,13,13
13-003,Fraser,Main,NO,32.37,33,8,92,83,0
13-005,Fraser,Main,NO,24.11,0,29,57,0,0
13-010,Fraser,Main,NO,28.167,7,20,20,7,0
13-012-A,Fraser,Main,NO,28.578,65,30,60,60,0
13-012-B,Fraser,Main,NO,28.743,11,47,47,89,0
13-016,Fraser,Main,NO,29.231,0,0,0,0,0
14-001,Fraser,South,NO,37.471,10,0,70,80,0
14-004,Fraser,South,NO,46.915,0,30,0,100,0
15-001-B,Pitt,South,NO,41.402,0,25,33,75,0
15-003-A,Pitt,South,NO,41.226,0,0,38,92,0
15-003-B,Pitt,South,NO,41.278,0,9,43,78,0
Alex_Fraser_North,Fraser,South,NO,21.356,78,4,9,30,0
Eburne_Slough,Fraser,South,NO,5.954,13,0,75,50,0
Frenchies,Fraser,South,NO,7.64,0,10,55,20,100
Glenrose_Downstream,Fraser,South,NO,21.552,100,0,14,7,7
Glenrose_Upstream,Fraser,South,NO,21.942,67,0,19,48,0
Gunderson_Slough,Fraser,Main,NO,22.913,73,7,53,40,0
REF-01,Pitt,South,YES,42.406,0,25,50,100,0
REF-02-2015,Fraser,South,YES,11.9,0,0,15,10,0
REF-03,Fraser,North,YES,38.345,35,0,20,70,10
REF-03-2015,Fraser,South,YES,5.328,0,8,56,16,16
REF-04,Fraser,South,YES,36.055,0,15,75,75,0
REF-05,Fraser,South,YES,29.812,10,35,80,0,0
REF-05-2015,Fraser,South,YES,5.638,63,7,10,13,0
REF-07,Fraser,Main,YES,20.308,60,10,45,40,0
REF-09,Fraser,Main,YES,15.597,50,17,50,50,0
REF-09-2015,Fraser,Main,YES,9.868,0,3,33,23,0
REF-10-2015,Fraser,Main,YES,12.894,0,21,59,17,0
REF-11,Fraser,Main,YES,9.752,65,10,50,50,0
REF-11-2015,Fraser,Main,YES,23.035,0,10,50,43,0
REF-12-2015,Fraser,Main,YES,18.973,0,10,63,13,0
REF-13,Fraser,Main,YES,5.066,90,20,40,35,5
REF-14,Fraser,Main,YES,4.122,100,0,5,0,0
REF-17,Fraser,North,YES,2.492,50,11,17,0,22
REF-20,Serpentine,Main,YES,3.06,65,0,0,25,0
REF-21,Nicomekl,Main,YES,1.904,0,0,0,0,0