SITE_ID,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,DEBRIS_FENCE,OFFSHORE_STRUCTURE,SLOUGH,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_MAPPED_K,AREA_MAPPED_K2,AREA_INTENDED,RIVER,ARM,Easting,DIST_UPRIVER,DIST_UPRIVER_KM,SW_INFL,PRCNT_EDGE,PRCNT_EDGE2,PRCNT_LOG1,PRCNT_LOG2,PRCNT_MUDFLAT,PRCNT_MARSH,RECESSED_AREA,GRAZING,ELEV_MEAN,ELEV_SD,ELEV_MIN,ELEV_MAX,CARELYN_MH,CARELYN_SD,COM1_ARich,COM1_ARich_SD,COM1_NRich,COM1_NRICH_SD,COM1_ShannDiv,COM1_ShannDiv_SD,COM1_SimpDiv,COM1_SimpDiv_SD,RC_Native,RC_NativeSD,RC_NonNative,RC_NonNativeSD,RC_Invasive,RC_InvasiveSD,RC_Unknown,RC_UnknownSD,TYPHA_PRES,CARELYN,IRISPSE,LYTHSAL,PHALARU,TYPHGLA
00-001,NO,2021,Inline,No,Absent,Absent,Absent,No,2003,19,18,20.59,0.02,0.00002,20,Fraser,North,484450,443,0.443,Yes,0,0,0,0,0,100,0,0,1.19,0.11,0.98,1.37,NA,NA,3,1.73,3,1.73,0.09,0.1,0.03,0.04,100,0,0,0,0,0,0,0,N,0,0,0,0,0
02-011,NO,2021,Basin,Yes,Absent,Present,Absent,No,2013,9,8,4214.35,4.21,0.00421,5210,Fraser,North,491563,8477,8.477,Yes,0,0,0,0,0,100,0,0,0.98,0.34,0.31,3,170.95,19.34,2.95,1.23,2.45,1,0.31,0.39,0.17,0.23,95.74,10.22,0.28,1.24,3.98,10.26,0,0,Y,100,0,5,10,15
05-002,NO,2021,Basin,Yes,Absent,Present,Absent,No,1991,31,30,4356.1,4.36,0.00436,4500,Fraser,North,487841,3224,3.224,Yes,0,0,0,0,0,100,0,0,1.2,0.3,0.71,2.9,141.33,8.5,2.21,1.18,0.63,0.76,0.01,0.04,0.53,0.51,28.03,38.99,0.03,0.07,71.94,39.04,0,0,Y,21,0,11,11,74
09-003,NO,2021,Basin,Yes,Absent,Absent,Absent,Yes,1990,32,31,59309,59.31,0.05931,60349,Fraser,Main,493724,10403,10.403,Yes,0,0,0.1,0,2,100,1186.18,0,1.1,0.38,-0.86,2.9,NA,NA,3.1,2.13,1.45,1.57,0.19,0.32,0.51,0.44,23.17,34.33,1.91,8.53,74.92,36.05,0,0,Y,10,20,20,55,35
10-002-A,NO,2015,Basin,Yes,Absent,Absent,Absent,No,1988,34,27,15320.29,15.32,0.01532,10000,Fraser,Main,497956,15062,15.062,Yes,1.19,0,1.25,0,4,96,612.8116,0,1.22,0.28,0.38,2.88,193.2,59.34,4.05,2.84,2.55,2.19,0.51,0.51,0.47,0.36,47.82,41.65,5,19.11,45.73,43.78,1.45,3.89,Y,15,5,10,20,25
10-002-B,NO,2015,Basin,Yes,Absent,Absent,Absent,No,1988,34,27,3742.3,3.74,0.00374,10000,Fraser,Main,498469,15504,15.504,Yes,2.96,0,0,55,0,45,0,0,1.23,0.22,0.48,2.23,114.6,30.64,10.89,2.62,4.67,2.28,0.85,0.39,0.4,0.19,70.31,15.42,15.43,12.26,12.5,17.26,1.75,2.41,N,89,44,22,56,0
Frenchies,NO,2021,Basin,Yes,Present,Absent,Present,Yes,2010,12,11,19100.32,19.1,0.0191,NA,Fraser,Main,491678,7640,7.64,Yes,0,0,0,0,0,100,0,0,0.96,0.44,-0.1,2.6,NA,NA,3.15,1.31,1.2,1.11,0.23,0.36,0.45,0.43,7.63,10.36,0.04,0.12,92.33,10.36,0,0,Y,0,10,55,20,100
03-004,NO,2015,Basin,Yes,Absent,Present,Absent,No,1994,28,21,6306.73,6.31,0.00631,5365,Fraser,North,488242,4895,4.895,Yes,0,0.650071349,0,0,0,100,0,0,1.15,0.36,0.65,3.01,234,78.63,2.05,1.5,2.4,0.83,0.05,0.11,0.67,0.46,21.12,34.91,1.14,3.5,77.21,36.26,0.53,1.55,Y,10,15,20,0,85
02-013,NO,2021,Basin,Yes,Absent,Present,Absent,No,2007,15,14,539.9,0.54,0.00054,1610,Fraser,North,491467,8372,8.372,Yes,0,0.740740741,0.18,0,0,100,0,0,1.14,0.24,0.67,1.64,159.82,18.1,2.64,1.86,1.55,1.21,0.04,0.12,0.02,0.05,99.25,0.97,0.69,0.99,0.04,0.1,0.03,0.09,N,100,0,9,9,0
09-006,NO,2021,Basin,Yes,Absent,Absent,Absent,Yes,1992,30,29,6583.38,6.58,0.00658,6185,Fraser,Main,493975,9825,9.825,Yes,0.2,1.032963694,1.36,0,5.3,94.7,348.91914,1,1.2,0.32,-0.83,1.99,NA,NA,7.14,2.21,3.93,1.33,0.87,0.38,0.48,0.21,32.15,37.41,29.89,38.58,37.61,42.58,0.35,0.58,Y,29,0,43,64,29
Alex_Fraser_North,NO,2021,Basin,Yes,Absent,Absent,Absent,No,2010,12,11,4247.83,4.25,0.00425,NA,Fraser,Main,504114,21356,21.356,Yes,0,1.506591337,0,0,15.47,84.54,657.139301,1,0.61,0.24,0.16,2.2,118.33,15.67,4.74,2.49,2.52,1.5,0.4,0.45,0.23,0.27,87.64,18.92,6.3,12.48,5.15,16.05,0.91,3.34,N,78,4,9,30,0
12-004,NO,2015,Basin,Yes,Present,Absent,Present,No,1992,30,23,7474.41,7.47,0.00747,8560,Fraser,Main,504281,21308,21.308,No,0,1.605565962,0,0,17.9,80.1,1337.91939,1,0.8,0.44,-0.26,2.76,NA,NA,8.61,2.69,3.89,2.07,0.86,0.49,0.43,0.25,58.01,29.26,25.33,20.85,15.58,24.08,1.08,2.18,Y,0,7,46,39,4
03-002,NO,2015,Embayment,No,Absent,Absent,Absent,Yes,2013,9,2,4601.09,4.6,0.0046,NA,Fraser,North,489236,6086,6.086,Yes,1.73,8.628559009,0,0,34,66,1564.3706,3,0.42,0.42,-0.51,1.89,NA,NA,5.67,2.52,2.33,1.15,0.27,0.25,0.15,0.19,95.33,4.96,3.35,2.68,0,0,1.32,2.29,N,0,0,0,0,0
13-012-B,NO,2015,Basin,Yes,Absent,Present,Absent,No,2000,22,15,1793.27,1.79,0.00179,1781,Fraser,Main,507769,28743,28.743,No,2.27,9.983268265,0,0,0,100,0,0,1.26,0.28,0.71,3.07,149.5,50.2,7.79,3.1,5.89,1.44,0.5,0.41,0.28,0.24,34.8,33.58,34.05,34.57,28.2,28.44,2.96,5.76,N,11,47,47,89,0
02-001,NO,2015,Protruding,No,Absent,Absent,Present,No,1988,34,27,15661.72,15.66,0.01566,635,Fraser,North,493169,10461,10.461,Yes,2.04,10.06056742,3.2,0,31,69,4855.1332,3,0.87,0.34,-0.03,3.09,112.79,39.81,8.28,2.94,4.04,1.9,0.93,0.37,0.49,0.17,58.51,28.04,26.31,22.78,12.81,17.65,2.36,4.04,N,0,4,0,4,0
13-002,NO,2021,Protruding,No,Absent,Absent,Present,Yes,1991,31,30,21741.89,21.74,0.02174,18569,Fraser,Main,507106,26555,26.555,No,1.16,10.8591666,0,0,18.01,81.99,3915.714389,3,0.79,0.42,-0.7,3.56,NA,NA,6.42,3.44,2.29,2.03,0.32,0.52,0.21,0.31,18.37,28.1,41.23,43.75,33.9,34.73,6.5,18.62,Y,4,33,67,13,8
11-012-A,NO,2015,Embayment,No,Absent,Absent,Absent,No,2000,22,15,3952.08,3.95,0.00395,5411,Fraser,Main,501084,18307,18.307,Yes,1.9,11.48785425,1.32,0,0,100,0,0,1.39,0.35,-0.08,2.18,138.74,26.11,9.28,2.97,4.6,2.27,0.95,0.46,0.49,0.23,48.27,24.68,16.64,12.42,33.83,29.15,1.25,3.06,N,48,32,80,88,0
02-003-B,NO,2015,Inline,No,Present,Absent,Present,No,1992,30,23,4094,4.09,0.00409,7755,Fraser,North,496874,14255,14.255,Yes,2.94,17.46458232,0.91,0,15,85,614.1,3,1.05,0.4,0.2,3.7,144.7,30.79,6.27,1.68,3.91,1.21,0.78,0.41,0.44,0.21,57.91,32.4,6.49,9.01,34.32,31.7,1.28,2.33,Y,0,0,73,0,27
03-001A,NO,2021,Other,No,Absent,Absent,Absent,No,1985,37,36,4881.56,4.88,0.00488,NA,Fraser,North,488892,5574,5.574,Yes,3.5,18.14829988,7,4,8,88,390.5248,1,1.07,0.56,-0.63,2.58,101,40.47,5.15,2.61,3,1.83,0.25,0.3,0.13,0.17,68.1,41.48,11.6,27.59,20.22,33.61,0.07,0.26,Y,62,31,23,38,0
02-007-A,NO,2015,Embayment,No,Absent,Absent,Absent,No,1993,29,22,1356.43,1.36,0.00136,3984,Fraser,North,495051,12403,12.403,Yes,5.8,19.32153392,0,0,25,75,339.1075,2,0.75,0.29,0,1.41,110.17,41.84,9.6,2.22,3.9,1.16,1.21,0.42,0.57,0.2,58.9,19.06,28.21,13.08,4.6,6.58,8.29,10.89,N,0,0,50,10,0
02-007-C,NO,2015,Embayment,No,Absent,Absent,Absent,No,1993,29,22,1773.24,1.77,0.00177,3984,Fraser,North,495406,12799,12.799,Yes,4.75,20.642978,0,0,33,67,585.1692,3,0.75,0.33,0.02,1.77,89.38,36.28,9.9,2.81,3.9,2.12,0.83,0.35,0.38,0.17,64.62,20.82,29.33,22.46,4.37,4.57,1.68,2.79,N,100,0,60,0,0
13-005,NO,2015,Embayment,No,Absent,Absent,Present,No,1997,25,18,1600.96,1.6,0.0016,1530,Fraser,Main,505438,24110,24.11,No,4.43,20.95357591,0,0,5.07,94.93,81.168672,2,1.11,0.24,0.44,2.48,109.67,39.19,10.57,2.21,4.36,1.98,1.08,0.45,0.5,0.21,71.85,16.05,9.24,8.45,11.53,9.84,7.37,10.13,N,0,29,57,0,0
Gunderson_Slough,NO,2021,Protruding,No,Absent,Absent,Absent,No,2014,8,7,6258.06,6.26,0.00626,4750.97,Fraser,Main,505429,22913,22.913,No,2.67,21.1154699,3.73,0,20.87,79.11,1306.057122,2,0.77,0.23,0.05,1.91,82.56,21.19,6.2,3.36,3.53,2.07,0.62,0.4,0.36,0.22,77.86,33.1,4.18,6.84,16.49,32.42,1.47,5.1,Y,73,7,53,40,0
10-004,NO,2015,Protruding,No,Absent,Absent,Present,No,1995,27,20,1371.69,1.37,0.00137,1525,Fraser,Main,497496,14129,14.129,Yes,6.14,23.25072886,0,0,0,100,0,0,0.98,0.36,-0.35,1.78,184.83,41.06,4.2,1.47,2.3,1.27,0.36,0.38,0.2,0.21,64.43,30.78,13.4,15.25,21.15,35.7,1.02,2.8,N,0,0,40,35,0
02-009,NO,2015,Inline,No,Absent,Absent,Absent,No,2001,21,14,1040.39,1.04,0.00104,1382,Fraser,North,490930,8027,8.027,Yes,3.46,23.65384615,6.43,0,56,44,582.6184,2,0.7,0.42,0.11,1.77,106.4,14.33,8.14,4.41,4.14,2.7,0.6,0.4,0.44,0.28,71.41,35.4,6.25,11.13,14.81,26.26,7.53,11.86,N,0,0,57,43,0
04-001,NO,2015,Protruding,No,Absent,Absent,Absent,No,1990,32,25,3060.15,3.06,0.00306,3461,Fraser,North,486387,2676,2.676,Yes,5.04,24.21568627,0,0,0,100,0,0,0.98,0.23,0.24,2.29,89.83,16.41,1.9,0.91,0.35,0.91,0.23,0.27,0.14,0.18,100,0,0,0,0,0,0,0,N,0,0,0,0,0
02-015,NO,2021,Inline,No,Absent,Absent,Absent,No,2007,15,14,388.44,0.39,0.00039,445,Fraser,North,493343,10297,10.297,Yes,3.68,25,2,0,16.77,83.23,65.141388,3,0.43,0.3,-0.31,1.1,NA,NA,5.8,2.28,4,2,0.73,0.71,0.35,0.34,25.03,29.17,0.16,0.21,74.74,28.94,0.08,0.17,N,0,0,100,0,0
09-013,NO,2015,Protruding,No,Absent,Absent,Absent,Yes,1997,25,18,2689.58,2.69,0.00269,2780,Fraser,Main,495074,10592,10.592,Yes,6.02,25.0929368,0,0,0,100,0,0,0.57,0.32,-1.1,1.4,148.63,33.32,6.75,1.61,2.63,1.5,0.86,0.4,0.44,0.21,61.81,18.78,24.9,14.08,10.57,22.32,2.71,2.72,N,94,6,6,31,0
10-003,NO,2015,Embayment,No,Absent,Absent,Absent,No,1989,33,26,227.04,0.23,0.00023,180,Fraser,Main,500389,17370,17.37,Yes,10.73,25.35211268,25.63,0,49.66,50.34,112.748064,0,1.21,0.36,0.4,1.93,74.5,31.31,5.25,3.58,3.75,2.14,0.69,0.52,0.5,0.29,65.83,24.51,10.23,11.56,20.92,25.96,3.02,5.65,N,0,25,38,13,0
02-014,NO,2015,Inline,No,Present,Absent,Absent,No,2008,14,7,1619.58,1.62,0.00162,950,Fraser,North,490992,8102,8.102,Yes,6.55,25.92592593,12.65,0,0,100,0,0,1.04,0.3,0.39,1.69,107,34.82,5.95,2.7,3.9,1.95,0.57,0.5,0.41,0.32,22.54,28.4,0.53,1.26,75.81,29.3,1.12,1.61,Y,0,0,65,30,95
09-002-A,NO,2015,Embayment,No,Absent,Absent,Absent,No,1988,34,27,662.37,0.66,0.00066,1680,Fraser,Main,485416,541,0.541,Yes,0.46,26.73716012,0,0,0,100,0,0,1.09,0.24,-0.2,1.55,102.85,13.99,6.15,1.95,1.46,1.14,0.9,0.28,0.47,0.16,94.51,5.45,1.62,3.61,3.87,3.89,0,0,N,100,46,38,8,0
02-002,NO,2015,Embayment,No,Absent,Absent,Present,No,1989,33,26,596.27,0.6,0.0006,15400,Fraser,North,494949,12358,12.358,Yes,5.04,26.84563758,10.33,0,0,100,0,1,1.04,0.22,0.27,1.36,97.09,20.56,10.4,4.95,5.2,2.77,1.18,0.51,0.56,0.22,78.13,15.45,10.67,9.98,7.71,9.53,3.49,4,N,60,7,47,13,0
14-001,NO,2021,Protruding,No,Absent,Absent,Present,No,1988,34,33,3451.89,3.45,0.00345,NA,Fraser,Main,516705,37471,37.471,No,5.06,28.3603708,2.41,5.28,0,94.72,0,1,1.52,0.27,0.75,2.6,101,NA,5.6,2.99,3.2,2.04,0.33,0.5,0.18,0.28,42.18,40.27,2.77,5.82,54.91,42.75,0.14,0.36,N,10,0,70,80,0
01-008,NO,2015,Protruding,No,Present,Absent,Absent,No,2003,19,12,2269.75,2.27,0.00227,2161,Fraser,North,502718,21422,21.422,Yes,6.22,30.13215859,1,0,0,100,0,1,1.12,0.16,0.86,1.92,96.96,44.55,10.3,3.47,3.15,2.51,1.21,0.45,0.56,0.2,86.83,18.13,5.37,7.52,6.63,15.99,1.16,2.95,Y,25,0,50,10,5
02-003-A,NO,2015,Inline,No,Absent,Absent,Present,No,1992,30,23,5684.37,5.68437,0.00568437,7755,Fraser,North,495677,13054,13.054,Yes,7.23,33.42813804,0,0,6,94,341.0622,1,1.17,0.22,0.15,2.11,113.22,39.62,9.33,2.44,4.93,1.9,0.98,0.3,0.5,0.15,69.35,16.48,16.18,15.11,9.93,9.25,4.54,5.3,N,87,7,67,33,0
13-012-A,NO,2015,Protruding,No,Absent,Absent,Absent,No,2000,22,15,1595.47,1.6,0.0016,1781,Fraser,Main,507716,28578,28.578,No,15.78,34.77443609,3.4,0,0,100,0,2,1.31,0.32,0.83,3.88,33,11.78,15.4,3.66,9.5,2.06,1.19,0.48,0.54,0.21,47.69,14.25,37.57,16.44,9.82,10.38,4.92,7.86,N,65,30,60,60,0
09-020,NO,2021,Inline,No,Absent,Absent,Present,Yes,2011,11,10,1015.06,1.02,0.00102,NA,Fraser,Main,487757,2918,2.918,Yes,6.36,36.74876847,1.16,0,0,100,0,0,1.3,0.44,-0.32,2.88,126.58,29.27,4.79,1.47,2.95,1.22,0.52,0.44,0.35,0.3,79.88,28.16,5.1,12.4,15.02,23.83,0,0,N,68,0,53,37,0
14-004,NO,2015,Protruding,No,Present,Absent,Present,No,1986,36,29,1097.26,1.1,0.0011,1000,Fraser,Main,523792,46915,46.915,No,8.27,38.46855059,2.5,0,11,89,120.6986,1,1.98,0.45,0.79,2.96,132.5,16.72,2.6,1.26,3,1.49,0.17,0.3,0.4,0.45,14.34,22.72,0,0,85.66,22.72,0,0,N,0,30,0,100,0
11-002,NO,2015,Protruding,No,Present,Absent,Absent,No,1989,33,26,1555.92,1.56,0.00156,1866,Fraser,Main,504413,22674,22.674,No,8.04,38.56041131,4.41,0,0,100,0,2,0.98,0.21,0.32,1.56,82.29,37.69,11,3,4.41,2.26,0.98,0.33,0.48,0.17,71.91,16.59,17.13,11.32,8.39,16.97,2.57,2.84,N,59,12,53,24,0
11-012-B,NO,2015,Embayment,No,Absent,Absent,Absent,No,2000,22,15,701.42,0.7,0.0007,5411,Fraser,Main,501152,18359,18.359,Yes,9.1,39.08701854,0,13,0,87,0,0,1.06,0.13,0.59,1.48,81.08,25.08,9.86,2.91,4.14,2.06,1.07,0.4,0.52,0.18,65.53,24.16,12.19,12.72,19.86,28.4,2.42,3.74,N,100,14,7,64,0
12-007,NO,2015,Protruding,No,Absent,Absent,Absent,No,2006,16,9,985.53,0.99,0.00099,625,Fraser,Main,503856,21028,21.028,Yes,8.67,39.14807302,0,0,25,75,246.3825,1,0.96,0.21,0.47,1.8,63.2,12.89,6.2,3.12,4.2,1.83,0.46,0.43,0.24,0.23,75.73,18.26,21.68,16.44,2.6,6.71,0,0,N,0,0,10,10,0
12-001,NO,2015,Protruding,No,Present,Absent,Present,Yes,1982,40,33,671.31,0.67,0.00067,625,Fraser,Main,506118,24214,24.214,No,8.68,39.64232489,0.67,0,0,100,0,0,1.36,0.27,0.83,2.45,118.2,18.28,7.6,3.94,5.27,2.18,0.4,0.37,0.34,0.32,25.52,21.46,28.35,27.11,43.79,33.21,2.33,2.09,N,0,40,67,87,0
Eburne_Slough,NO,2021,Protruding,No,Absent,Absent,Absent,No,2013,9,8,2569.27,2.57,0.00257,5937,Fraser,North,489142,5954,5.954,Yes,8.79,41.08748978,6.38,0,62,38,1592.9474,3,0.9,0.53,-0.2,2.1,71,NA,4,1.51,1.75,1.16,0.08,0.14,0.04,0.08,73.06,36.66,19.75,28.24,7.19,12.72,0,0,Y,13,0,75,50,0
04-003,NO,2021,Protruding,No,Absent,Absent,Absent,Yes,1993,29,28,574.8,0.57,0.00057,NA,Fraser,North,486619,4025,4.025,Yes,9.53,43.82608696,2.55,10,0,90,0,0,0.97,0.55,-0.51,3.34,137,22.58,5.27,2.94,3.27,2,0.33,0.44,0.18,0.24,80.39,29.74,5.33,13.27,14.23,27.2,0.04,0.14,N,73,36,45,36,0
02-007-B,NO,2015,Embayment,No,Absent,Absent,Absent,No,1993,29,22,574.22,0.57,0.00057,3984,Fraser,North,495294,12671,12.671,Yes,12.76,44.77351916,1,0,18,82,103.3596,2,0.7,0.21,0.27,1.19,108,45.41,6.8,3.58,3.3,2.47,0.68,0.5,0.34,0.24,70.37,27.03,11,15.62,9.52,14.52,9.11,15.1,N,0,10,30,20,0
Glenrose_Downstream,NO,2021,Protruding,No,Absent,Absent,Absent,No,2015,7,6,1598.59,1.6,0.0016,1440,Fraser,Main,504404,21552,21.552,Yes,9.35,45.27829894,1.07,0,14,86,223.8026,1,0.96,0.17,0.6,1.49,130.31,14.54,2.79,0.8,2.5,0.52,0.38,0.25,0.24,0.19,96.23,11.54,0,0,3.77,11.54,0,0,Y,100,0,14,7,7
03-001B,NO,2021,Protruding,No,Absent,Absent,Absent,No,1985,37,36,858.17,0.86,0.00086,NA,Fraser,North,489031,5808,5.808,Yes,9.78,47.08624709,0,0,0,100,0,0,0.58,0.4,-0.73,1.54,94,15.56,3,2.26,2.3,1.16,0.2,0.19,0.1,0.12,97.64,4.01,0.95,3.01,1.41,2.73,0,0,N,20,20,20,0,0
01-003-B,NO,2015,Embayment,No,Absent,Absent,Absent,No,1991,31,24,248.09,0.25,0.00025,627,Fraser,North,505409,24427,24.427,No,10.74,48.38709677,1.29,12,12,76,29.7708,2,1.18,0.23,0.42,1.91,69.17,24.92,11.14,2.34,4.43,1.86,1.03,0.37,0.49,0.19,73.83,9.46,7.12,7.11,9.8,7.3,9.25,4.61,N,86,14,43,57,0
04-005,NO,2015,Protruding,No,Absent,Absent,Absent,No,2006,16,9,473.11,0.47,0.00047,3600,Fraser,North,487203,3673,3.673,Yes,10.97,49.26004228,0,0,0,100,0,0,1.03,0.11,0.7,1.31,90.5,23.33,3,1.15,1.9,0.7,0.07,0.15,0.03,0.08,95.66,4.09,0.31,0.44,4.03,4.13,0,0,N,0,20,20,0,0
02-005-B,NO,2015,Protruding,No,Absent,Absent,Present,No,1992,30,23,337.28,0.34,0.00034,1524,Fraser,North,498525,15965,15.965,Yes,12.84,50.44510386,0,0,81,19,273.1968,1,0.48,0.23,-0.15,1.07,83.8,27.69,7.33,3.46,4.33,2.37,0.49,0.64,0.24,0.3,67.93,30.04,29.23,26.99,1.93,2.61,0.91,1.57,N,0,0,44,22,0
09-001-B,NO,2015,Protruding,No,Absent,Absent,Absent,Yes,1997,25,18,1982.16,1.98,0.00198,2500,Fraser,Main,495315,10999,10.999,Yes,10.52,51.41271443,1.6,0,0,100,0,0,1.29,0.24,0.29,1.88,115.42,52.55,7.25,2.43,3.9,1.98,0.92,0.43,0.51,0.2,34.7,24.38,12.3,14.65,50.09,30.83,2.9,5.41,N,0,30,0,0,0
11-013,NO,2015,Protruding,No,Absent,Absent,Present,No,2004,18,11,1254.71,1.25,0.00125,1050,Fraser,Main,502888,20930,20.93,No,10.39,51.55378486,0,0,21,79,263.4891,2,0.94,0.44,0.14,2.77,80.07,35.32,6.33,2.57,3.44,1.7,0.72,0.46,0.38,0.25,90.57,11.24,3.13,6.39,3.9,4.4,2.4,5.02,N,0,0,78,11,0
