SITE_ID,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,DEBRIS_FENCE,OFFSHORE_STRUCTURE,SLOUGH,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_MAPPED_K,AREA_MAPPED_K2,AREA_INTENDED,RIVER,ARM,Easting,DIST_UPRIVER,DIST_UPRIVER_KM,SW_INFL,PRCNT_EDGE,PRCNT_EDGE2,PRCNT_LOG1,PRCNT_LOG2,PRCNT_MUDFLAT,PRCNT_MARSH,RECESSED_AREA,GRAZING,ELEV_MEAN,ELEV_SD,ELEV_MIN,ELEV_MAX,CARELYN_MH,CARELYN_SD,COM1_ARich,COM1_ARich_SD,COM1_NRich,COM1_NRICH_SD,COM1_ShannDiv,COM1_ShannDiv_SD,COM1_SimpDiv,COM1_SimpDiv_SD,RC_Native,RC_NativeSD,RC_NonNative,RC_NonNativeSD,RC_Invasive,RC_InvasiveSD,RC_Unknown,RC_UnknownSD,TYPHA_PRES,CARELYN,IRISPSE,LYTHSAL,PHALARU,TYPHGLA
02-005-C,NO,2015,Protruding,No,Absent,Absent,Present,No,1992,30,23,555.61,0.56,0.00056,1524,Fraser,North,498604,16052,16.052,Yes,11.53,55.03597122,0,0,42,58,233.3562,1,0.49,0.28,-0.06,1.39,200,NA,7.38,5.5,4,3.54,0.51,0.57,0.25,0.29,72.85,22.8,18.93,16.72,7.53,20.19,0.69,1.01,N,0,0,25,13,0
02-005-D,NO,2015,Protruding,No,Absent,Absent,Present,No,1992,30,23,193.97,0.19,0.00019,1524,Fraser,North,498686,16143,16.143,Yes,9.78,57.21649485,0,0,14,86,27.1558,1,0.5,0.4,-0.21,1.52,63,0,8.33,4.18,5.17,2.79,0.77,0.67,0.56,0.34,32.96,34.28,46.79,39.66,17.36,40.5,2.89,5.03,N,0,0,50,17,0
Glenrose_Upstream,NO,2021,Protruding,No,Absent,Absent,Absent,No,2015,7,6,1761.31,22.48,0.02248,1765.97,Fraser,Main,504673,21942,21.942,Yes,11.12,57.29537367,1,0,0,100,0,1,0.83,0.32,0.04,2.57,65.64,29.12,7,2.98,3.12,1.54,0.41,0.35,0.28,0.27,71.34,30.86,19.66,28.71,3.8,7.36,5.2,17.42,N,67,0,19,48,0
09-002-B,NO,2015,Embayment,No,Absent,Absent,Absent,No,1988,34,27,238.93,0.24,0.00024,1680,Fraser,Main,485376,521,0.521,Yes,2.5,63.59832636,0,0,0,100,0,0,0.81,0.41,-0.64,1.29,97.73,10.18,2.5,1.58,0.7,1.34,0.3,0.32,0.16,0.19,98.24,3.73,0.94,2.98,0,0,0.82,2.6,N,0,0,0,0,0
02-005-A,NO,2015,Protruding,No,Absent,Absent,Present,No,1992,30,23,304.59,0.3,0.0003,1524,Fraser,North,498411,15831,15.831,Yes,15.94,65.78947368,0,0,18,82,54.8262,1,0.8,0.24,0.38,1.48,81.63,36.67,10.2,2.1,5.1,1.83,0.98,0.46,0.48,0.22,49.46,34.5,46.11,35.68,3.83,4.27,0.6,0.64,N,0,0,90,30,0
11-010,NO,2015,Protruding,No,Absent,Absent,Absent,No,1995,27,20,154.15,0.15,0.00015,80,Fraser,North,503903,22786,22.786,No,13.77,69.48051948,0,0,36,64,55.494,3,0.72,0.37,0.07,1.48,39.71,16.57,13.14,3.39,5.57,1.4,1.53,0.21,0.72,0.08,78.93,12.69,12.97,16.04,4.63,3.84,3.47,5.99,N,100,0,86,29,0
02-005-E,NO,2015,Protruding,No,Absent,Absent,Present,No,1992,30,23,333.98,0.33,0.00033,1524,Fraser,North,498752,16219,16.219,Yes,14.55,70.35928144,0,0,0,100,0,1,0.65,0.35,-0.11,1.37,68.2,40.38,7.25,2.05,3,1.78,0.54,0.45,0.26,0.25,67.46,15.33,31.82,14.73,0.4,0.78,0.32,1.1,N,75,0,25,0,0
09-009,NO,2015,Protruding,No,Absent,Absent,Absent,No,1993,29,22,738.09,0.74,0.00074,550,Fraser,Main,489246,4616,4.616,Yes,15.37,70.59620596,7.67,0,0,100,0,0,0.93,0.18,0.46,1.42,86.42,27.74,2.13,0.83,1.4,0.7,0.36,0.29,0.23,0.2,99.84,0.61,0,0,0.16,0.61,0,0,N,73,0,7,0,0
11-001,NO,2021,Inline,No,Present,Absent,Absent,No,1984,38,37,1122.8,1.12,0.00112,NA,Fraser,Main,503392,21208,21.208,No,32.85,71.10204082,2.5,0,32,68,359.296,3,0.35,0.35,-0.46,1.75,119.5,16.31,9.1,2.9,5.35,2.28,0.85,0.51,0.43,0.26,62.8,33.82,16.15,24.83,19.12,25.79,1.93,6.41,N,65,25,50,60,0
09-016,NO,2021,Protruding,No,Absent,Absent,Absent,Yes,2002,20,19,958.67,0.96,0.00096,NA,Fraser,Main,486925,2061,2.061,Yes,13.66,76.32950991,0.11,0,31.27,68.73,299.776109,3,-0.41,0.23,-0.9,1.23,81,38.18,2.37,1.34,2.37,1.34,0.23,0.25,0.18,0.25,100,0,0,0,0,0,0,0,N,11,0,0,0,0
13-010,NO,2015,Inline,No,Absent,Absent,Present,No,1998,24,17,196.6,0.2,0.0002,175,Fraser,Main,507553,28167,28.167,No,10.84,76.64974619,2.8,0,0,100,0,2,1.3,0.37,0.61,2.71,30.83,10.32,11.67,2.99,8.2,1.56,1.29,0.27,0.67,0.09,40.39,18.45,51.38,17.82,5.22,8.89,3,9.92,N,7,20,20,7,0
01-003-A,NO,2021,Embayment,No,Absent,Absent,Absent,No,1991,31,30,112.88,0.11,0.00011,627,Fraser,North,505566,24561,24.561,No,24.43,81.4159292,0,0,100,0,112.88,NA,0.97,0.78,0.04,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0,0,0,0,0
05-001,NO,2015,Protruding,No,Absent,Absent,Absent,No,1991,31,24,109.62,0.11,0.00011,70,Fraser,North,489883,6340,6.34,Yes,16,83.63636364,0.7,0,0,100,0,2,1.11,0.23,0.24,1.57,92.4,16.85,8,2.49,3.5,1.4,0.73,0.32,0.37,0.19,93.54,6.94,2.93,2.83,1.42,1.29,2.11,4.98,N,100,10,50,10,0
09-015,NO,2015,Protruding,No,Absent,Absent,Absent,Yes,2000,22,15,1613.49,1.61,0.00161,900,Fraser,Main,495943,11860,11.86,Yes,18.57,85.86484811,0.53,0,0,100,0,0,0.3,0.55,-1.04,1.36,135.58,35.56,4.4,1.24,1.4,1.35,0.56,0.31,0.29,0.17,93.89,11.75,1.38,3.9,4.65,11.01,0.08,0.32,N,0,0,33,0,0
03-006,NO,2015,Protruding,No,Absent,Absent,Present,No,1997,25,18,281.81,0.28,0.00028,880,Fraser,North,489750,6859,6.859,Yes,23.36,87.58865248,1.67,0,0,100,0,0,1.09,0.19,0.52,1.84,102.25,15.87,4.25,1.22,1.17,0.79,0.66,0.24,0.41,0.17,97.24,3.59,0.65,1.34,1.58,2.93,0.53,1.85,N,0,8,33,8,0
09-004,NO,2015,Protruding,No,Absent,Absent,Present,Yes,1990,32,25,736.14,0.74,0.00074,410,Fraser,Main,493207,9784,9.784,Yes,18.56,90.76086957,0,0,0,100,0,0,0.31,0.5,-0.84,1.3,134.44,40.71,6.6,2.67,3.9,1.9,0.71,0.57,0.45,0.31,60.93,31.12,11.19,10.78,26.04,35.38,1.84,2.57,Y,80,0,60,0,20
11-014,NO,2021,Protruding,No,Absent,Absent,Absent,No,2005,17,16,57.57,0.06,0.00006,59.67,Fraser,Main,504376,22539,22.539,No,29.54,91.37931034,0,0,0,100,0,2,1.01,0.1,0.68,1.2,35.5,2.12,10.33,0.58,6.33,1.15,1.38,0.5,0.64,0.2,64.31,12.47,22.34,19.45,11.47,8.72,1.88,1.79,N,100,0,100,0,0
13-003,NO,2021,Protruding,No,Absent,Absent,Present,No,1991,31,30,638.24,0.64,0.00064,627,Fraser,Main,511744,32370,32.37,No,32.53,93.10344828,5.25,0,8.25,91.75,52.6548,1,1.25,0.42,0.07,1.85,87.78,29.78,8.42,2.07,5.25,1.14,0.55,0.33,0.26,0.17,80.91,17.91,8.95,10.04,10.15,10.2,0,0,N,33,8,92,83,0
09-001-A,NO,2015,Protruding,No,Absent,Absent,Absent,Yes,1990,32,25,1282.79,1.28,0.00128,3100,Fraser,Main,495714,11661,11.661,Yes,22.91,93.76461419,3.25,0,0,100,0,0,1.04,0.2,0.37,2.05,100.5,46.07,7.1,2.53,3,1.68,1.07,0.29,0.55,0.13,53.99,30.03,6.21,15.52,38.81,30.82,1,1.81,N,0,15,0,0,0
03-003,NO,2015,Protruding,No,Absent,Absent,Absent,Yes,1990,32,25,1108.6,1.11,0.00111,678,Fraser,North,489682,6546,6.546,Yes,19.15,95.22091975,0,0,21.76,78.24,241.23136,3,0.59,0.39,-0.24,1.54,103.29,9.76,7.31,3.18,3.31,1.97,0.35,0.3,0.21,0.25,86.42,23.67,5.29,4.65,7.7,24.66,0.59,1.34,N,0,13,63,0,0
12-003,NO,2021,Protruding,No,Absent,Absent,Absent,No,1987,35,34,525.89,0.53,0.00053,509,Fraser,Main,505666,23208,23.208,No,26.5,98.09885932,2.5,0,17,83,89.4013,1,0.82,0.32,0.02,1.47,126.57,44.36,7,2.45,3.9,1.37,0.9,0.4,0.49,0.22,44.9,29.82,6.72,11.1,48.39,25.14,0,0,N,80,0,40,100,0
09-008-A,NO,2015,Protruding,No,Absent,Absent,Present,Yes,1991,31,24,249.94,0.25,0.00025,810,Fraser,Main,493955,10716,10.716,Yes,25.52,100,0,0,23,77,57.4862,1,0.21,0.76,-1.01,2.13,136.67,32.52,6.2,1.64,3.2,1.92,0.62,0.57,0.33,0.3,40.25,24.02,41.99,23.91,15.97,32.09,1.79,1.43,N,0,0,0,80,0
09-008-B,NO,2015,Protruding,No,Absent,Absent,Present,Yes,1991,31,24,177.62,0.18,0.00018,810,Fraser,Main,493958,10654,10.654,Yes,28.02,100,0,0,11,89,19.5382,1,0.23,0.64,-1,1.37,126.5,22.39,8.8,3.08,4.9,2.3,0.87,0.51,0.43,0.26,43.1,26.75,25.37,24.17,26.32,33.78,5.21,3.66,N,50,10,60,80,0
11-009,NO,2021,Protruding,No,Absent,Absent,Present,No,1991,31,30,1674.37,1.67,0.00167,NA,Fraser,Main,505416,23825,23.825,No,36.41,100,1.43,0,15,85,251.1555,2,0.79,0.34,-0.12,1.53,65,12.63,8.86,2.35,4.07,1.14,0.57,0.42,0.3,0.24,60.35,24.7,15.24,14.57,24.05,20.85,0.36,0.72,N,86,64,86,57,0
13-001,NO,2015,Protruding,No,Absent,Absent,Absent,No,1987,35,28,257.97,0.26,0.00026,192,Fraser,North,505700,24689,24.689,No,19.31,100,2.14,14,0,86,0,0,2.16,0.8,1.25,3.6,96,29.2,10.57,2.88,4.14,1.68,1.16,0.38,0.55,0.19,81.84,8.81,2.28,2.59,14.58,11.05,1.3,1.84,N,86,14,43,86,0
13-016,NO,2021,Protruding,No,Absent,Absent,Absent,No,2005,17,16,72.3,0.07,0.00007,71.16,Fraser,Main,507921,29231,29.231,No,21.37,100,0,0,100,0,72.3,NA,0.74,0.23,0.46,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0,0,0,0,0
REF-02-2015,YES,2015,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,North,494579,11900,11.9,Yes,6.67,NA,0,0,0,100,#VALUE!,2,0.63,0.58,-0.47,1.48,113,4.24,7.85,2.03,3.4,1.69,0.51,0.31,0.23,0.16,84.65,9.14,10.01,7.94,1.85,5.16,3.49,6.86,NA,0,0,15,10,0
REF-03,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,9956.1,9.96,NA,9924,Fraser,Main,517656,38345,38.345,No,2.4,NA,0.05,0,0,100,0,1,1.57,0.18,0.74,2.18,88.14,19.64,4.1,2.07,2.9,1.68,0.14,0.16,0.25,0.25,59.13,40.99,0.89,2.37,39.98,41.32,0,0,NA,35,0,20,70,5
REF-03-2015,YES,2015,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,North,488557,5328,5.328,Yes,4.95,NA,2.6,0,0,100,#VALUE!,1,1.57,0.18,0.74,2.18,106.44,19.1,4.72,2.59,2.28,1.41,0.46,0.42,0.24,0.23,90.01,16.31,3.05,7.36,6.77,10.71,0.18,0.41,NA,0,8,56,16,16
REF-04,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,10698.29,10.7,NA,NA,Fraser,Main,515487,36055,36.055,No,2.54,NA,10.55,0,0,100,0,1,1.4,0.26,0.45,2.19,101.33,27.5,6.75,2.43,3.8,1.88,0.61,0.43,0.35,0.25,36.54,41.8,4.46,10.03,58.99,43.13,0.01,0.02,NA,0,15,75,75,0
REF-05,YES,2021,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,10606.88,10.61,NA,NA,Fraser,Main,508874,29812,29.812,No,4.07,NA,1.5,0,0,100,0,1,1.33,0.23,0.49,1.71,59.5,3.54,6.9,3.18,2.8,1.79,0.41,0.43,0.27,0.29,40.52,30.84,30.59,36.39,28.16,24.29,0.73,1.39,NA,10,35,80,0,0
REF-05-2015,YES,2015,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,North,489574,5638,5.638,Yes,5.6,NA,1,0,0,100,#VALUE!,1,0.79,0.35,-0.22,2.96,157.33,7.09,3.5,1.17,1.77,1,0.46,0.33,0.3,0.25,89.48,23.01,1.72,5.89,7.29,23.1,1.51,2.87,NA,63,7,10,13,0
REF-07,YES,2021,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,11009.64,11.01,NA,10974,Fraser,Main,502810,20308,20.308,Yes,2.86,NA,2.5,0,0,100,0,2,1.1,0.26,0.06,1.71,116.67,10.92,7.4,1.5,4.4,1.1,0.7,0.4,0.4,0.2,54.8,29.8,29.8,28.2,15.4,23,0,0,NA,60,10,45,40,0
REF-09,YES,2021,Embayment,No,Absent,Absent,Absent,NA,NA,NA,NA,7647.92,7.65,NA,NA,Fraser,Main,498783,15597,15.597,Yes,2.76,NA,1.28,0,0,100,0,2,1.14,0.39,-0.03,2.58,111.11,33.91,8.83,2.46,5.56,2.12,1,0.42,0.5,0.21,31.47,34.17,38.79,38.3,29.68,36.45,0.06,0.23,NA,50,17,50,50,0
REF-09-2015,YES,2015,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,Main,493058,9868,9.868,Yes,1.88,NA,1.17,0,0,100,#VALUE!,0,1.14,0.39,-0.03,2.58,153.7,48.37,5.03,2.77,2.2,1.87,0.6,0.44,0.31,0.23,78.56,27.74,6.74,12.46,13.79,25.56,0.91,1.8,NA,0,3,33,23,0
REF-10-2015,YES,2015,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,Main,496787,12894,12.894,Yes,5.14,NA,0.9,0,0,100,#VALUE!,1,1.04,0.48,-0.38,2.06,139.46,29.53,7.52,2.46,3.07,1.86,0.77,0.43,0.39,0.22,79.48,16.21,9.75,8.89,9,10.84,1.78,7.27,NA,0,21,59,17,0
REF-11,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,10257.71,10.26,NA,10225,Fraser,Main,494278,9752,9.752,Yes,2.18,NA,2.1,0,0,100,0,1,0.78,0.54,-0.61,1.76,120.83,31.77,6.85,2.7,4.75,2.12,0.63,0.44,0.35,0.25,69.2,37.72,6.07,11.26,23.24,33.97,1.49,6.38,NA,65,10,50,50,0
REF-11-2015,YES,2015,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,Main,504818,23035,23.035,Yes,4.74,NA,6.37,0,0,100,#VALUE!,2,1.04,0.28,0.31,1.71,97.39,30.11,8.67,3.39,3.93,3.08,0.86,0.46,0.42,0.24,61.86,31.21,12.2,11.76,22.61,32.73,3.33,8.06,NA,0,10,50,43,0
REF-12-2015,YES,2015,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,NA,NA,NA,NA,Fraser,Main,501839,18973,18.973,Yes,3.34,NA,0,0,0,100,#VALUE!,2,1.13,0.19,-0.19,1.93,111.56,32.46,8.4,3.16,3.8,2.32,0.9,0.53,0.48,0.25,55.72,22.43,19.8,14.89,16.46,24.91,8.02,12.9,NA,0,10,63,13,0
REF-13,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,11244.51,11.24,NA,11209,Fraser,Main,490918,5066,5.066,Yes,1.75,NA,3.85,0,0,100,0,0,1.36,0.4,-0.23,2.13,143.17,20.29,5.55,2.16,3.3,1.34,0.41,0.41,0.22,0.23,72.17,35.22,6.36,11.82,20.71,30.24,0.76,3.32,NA,90,20,40,35,5
REF-14,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,10914.07,10.91,NA,10879,Fraser,Main,488851,4122,4.122,Yes,2.1,NA,1.76,0,0,100,0,1,0.86,0.36,-0.74,2.15,100.37,30.08,2.75,1.12,2.35,0.81,0.18,0.2,0.1,0.13,99.78,0.55,0.1,0.26,0.11,0.51,0,0,NA,100,0,5,0,0
REF-17,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,6625.9,6.63,NA,6605,Fraser,North,486890,2492,2.492,Yes,3.21,NA,6,0,0,100,0,1,1.31,0.59,-0.78,3.41,143.88,20.34,3.67,1.68,2.89,1.13,0.45,0.37,0.26,0.22,94.14,11.41,0.42,1.25,5.44,11.46,0,0,NA,50,11,17,0,22
08-005A,NO,2021,Basin,Yes,Absent,Absent,Absent,No,1999,23,22,1622.51,1.62,NA,1787,Nicomekl,Main,511912,3170,3.17,Yes,0,NA,0.09,0,0,100,0,0,-0.03,0.62,-0.54,1.69,NA,NA,3.73,0.79,2.36,0.67,0.25,0.24,0.15,0.17,63.72,27.49,36.28,27.49,0,0,0,0,N,0,0,0,0,0
08-005B,NO,2021,Basin,Yes,Absent,Absent,Absent,No,1999,23,22,1634.82,1.63,NA,1787,Nicomekl,Main,511936,3225,3.225,Yes,0,NA,6.7,0,0,100,0,0,0.73,0.52,-0.32,2.29,NA,NA,4.1,1.52,2.1,1.52,0.32,0.43,0.29,0.35,30.38,36.46,69.61,36.45,0.01,0.04,0,0,N,0,0,0,10,0
08-008A,NO,2021,Inline,No,Absent,Absent,Absent,No,2002,20,19,601.82,0.6,NA,1425,Nicomekl,Main,510779,1941,1.941,Yes,4.87,NA,0.2,0,0,100,0,0,1.34,0.13,0.87,1.55,NA,NA,3.6,0.89,3,0,0.25,0.25,0.15,0.19,99.18,1.34,0.82,1.34,0,0,0,0,N,0,0,0,0,0
08-008B,NO,2021,Inline,No,Absent,Absent,Absent,No,2002,20,19,116.1,0.12,NA,1425,Nicomekl,Main,510872,2167,2.167,Yes,50.91,NA,2.29,0,0,100,0,0,1.02,0.21,0.5,1.33,NA,NA,3.86,1.35,3.29,0.76,0.28,0.33,0.16,0.21,98.83,2.03,1.17,2.03,0,0,0,0,N,0,0,0,0,0
08-008C,NO,2021,Inline,No,Absent,Absent,Absent,No,2002,20,19,61.33,0.06,NA,1425,Nicomekl,Main,510987,2274,2.274,Yes,40.61,NA,5,0,0,100,0,0,1.17,0.17,0.76,1.41,NA,NA,3,1,2.6,0.89,0.25,0.28,0.15,0.21,92.57,14.57,7.43,14.57,0,0,0,0,N,0,0,0,0,0
08-008D,NO,2021,Inline,No,Absent,Absent,Absent,No,2002,20,19,50.88,0.05,NA,1425,Nicomekl,Main,511028,2305,2.305,Yes,15.57,NA,0,0,0,100,0,0,1.19,0.11,0.9,1.33,NA,NA,4.67,0.58,4.67,0.58,0.24,0.08,0.1,0.05,100,0,0,0,0,0,0,0,N,0,0,0,0,0
08-009-A,NO,2021,Protruding,No,Absent,Absent,Absent,No,2005,17,16,637.31,0.64,NA,1350,Nicomekl,Main,512597,4661,4.661,Yes,13.77,NA,0,0,67,33,426.9977,3,0.9,0.2,0.59,1.67,120.33,43.09,3.75,1.89,3,1.41,0.47,0.42,0.26,0.25,74.64,28.3,25.36,28.3,0,0,0,0,N,75,0,0,0,0
08-009-B,NO,2021,Protruding,No,Absent,Absent,Absent,No,2005,17,16,1282.29,1.28,NA,1350,Nicomekl,Main,512682,4743,4.743,Yes,6.53,NA,0.71,0,22,78,282.1038,3,0.92,0.2,0.4,1.67,137,0,3,0.82,2.57,0.53,0.25,0.33,0.16,0.24,99.75,0.37,0.25,0.37,0,0,0,0,N,29,0,0,0,0
REF-21,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,9343.83,9.34,NA,NA,Nicomekl,Main,510772,1904,1.904,Yes,4.8,NA,1.3,0,0,100,0,0,1.36,0.33,-0.86,1.75,NA,NA,3,0.79,2.15,0.93,0.17,0.23,0.09,0.14,93.04,21.95,6.96,21.95,0,0,0,0,NA,0,0,0,0,0
15-001-B,NO,2015,Inline,No,Absent,Absent,Present,No,1992,30,23,2214.28,2.21,NA,80,Pitt,Main,519889,41402,41.402,No,3.13,NA,9.24,0,13,87,287.8564,1,1.48,0.29,0.63,2.12,95,48.76,5.95,2.95,3.16,2.19,0.71,0.52,0.38,0.27,67.08,37.98,5.22,10.11,26.95,39.4,0.75,1.66,N,0,25,33,75,0
15-003-A,NO,2015,Inline,No,Absent,Absent,Absent,No,2010,12,5,620.23,0.62,NA,7085,Pitt,Main,519562,41226,41.226,No,6.14,NA,31.92,0,31,69,192.2713,0,1.69,0.52,0.58,2.75,29.5,6.36,5.62,2.47,4.77,1.03,0.36,0.44,0.3,0.34,7.54,8.94,44.87,37.55,47.59,40.2,0,0,N,0,0,38,92,0
15-003-B,NO,2015,Inline,No,Absent,Absent,Absent,No,2010,12,5,3841.15,3.84,NA,7085,Pitt,Main,519825,41278,41.278,No,3.56,NA,2.83,0,5,95,192.0575,0,1.39,0.23,0.46,2.79,67.6,30.31,10.09,3.79,6,2.85,1.03,0.6,0.55,0.26,48.56,30.7,26.83,23.57,24.21,19.54,0.4,0.98,N,0,9,43,78,0
REF-01,YES,2021,Inline,No,Absent,Absent,Present,NA,NA,NA,NA,9640.9,9.64,NA,9610,Pitt,Main,520606,42406,42.406,No,1.41,NA,0,0,0,100,0,2,1.32,0.23,0.56,2.06,94.33,6.81,4.25,0.96,3.5,1.29,0.62,0.28,0.37,0.19,95.96,7.83,0,0,4.04,7.83,0,0,NA,0,25,50,100,0
08-004A,NO,2021,Basin,Yes,Absent,Absent,Absent,No,1998,24,23,310.4,0.31,NA,1960,Serpentine,Main,511726,2064,2.064,Yes,0,NA,0.27,0,0,100,0,0,1.1,0.2,0.68,1.73,99.83,47.23,3,1.79,2.27,0.65,0.16,0.26,0.08,0.15,86.78,30.98,9.81,29,3.41,10.95,0,0,N,64,0,0,18,0
08-004B,NO,2021,Basin,Yes,Absent,Absent,Absent,No,1998,24,23,1865.91,1.87,NA,1960,Serpentine,Main,512599,3304,3.304,Yes,0,NA,0.19,0,30,70,559.773,2,0.57,0.23,-0.08,1.29,60,NA,3.13,1.67,2.88,1.26,0.37,0.42,0.2,0.24,96.03,13.83,3.97,13.83,0,0,0,0,N,13,0,0,0,0
REF-20,YES,2021,Inline,No,Absent,Absent,Absent,NA,NA,NA,NA,10193.06,10.19,NA,NA,Serpentine,Main,512578,3060,3.06,Yes,2.57,NA,0,0,0,100,0,0,1.52,0.36,-1.02,2.42,98.83,19.96,3.5,1.57,2,0.97,0.28,0.27,0.28,0.31,61.72,44.91,19.01,34.53,19.01,37.43,0.26,0.55,NA,65,0,0,25,0