SITE_ID,REFERENCE,TYPE,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,AGE,AREA_MAPPED,ARM_1,DIST_UPRIVER,SW_INFL,PRCNT_EDGE,PRCNT_MARSH,GRAZING,ELEV_MEAN,COM1_ARich,COM1_NRich,COM1_SimpDiv,COM1_ShanDiv,RC_Native,RC_Invasive
00-001,NO,Bench,NO,NO,NO,18.00,20.59,North,443.00,Yes,49.71,100.00,None,1.19,4.67,1.67,0.09,0.03,33.51,0.00
02-011,NO,Basin,NO,NO,NO,16.00,4266.09,North,8477.00,Yes,0.00,97.15,None,1.01,4.50,0.50,0.60,0.34,99.48,0.47
02-012,NO,Bench,NO,NO,NO,15.00,103.81,North,10317.00,Yes,0.00,0.00,High,1.94,7.00,5.75,0.17,0.58,0.82,45.43
02-013,NO,Basin,NO,NO,NO,14.00,539.9,North,8372.00,Yes,0.00,100.00,None,1.15,4.09,2.55,0.04,0.02,72.45,0.02
02-015,NO,Bench,YES,NO,NO,14.00,354.41,North,10297.00,Yes,3.68,83.23,High,0.55,7.00,3.00,0.73,0.35,18.88,33.25
03-001A,NO,Bench,NO,YES,NO,36.00,4881.56,North,5574.00,Yes,3.50,96.01,Low,1.07,7.08,4.08,0.25,0.13,45.20,8.69
03-001B,NO,Bench,NO,NO,NO,36.00,858.17,North,5808.00,Yes,9.78,100.00,None,0.58,4.40,2.10,0.20,0.10,91.49,1.35
03-002B,NO,Bench,NO,NO,NO,8.00,2569.27,North,5954.00,Yes,8.79,40.59,High,0.94,5.75,3.13,0.26,0.15,67.36,2.82
04-003,NO,Bench,NO,NO,NO,28.00,574.8,North,4025.00,Yes,9.53,90.11,None,0.97,7.18,2.00,0.56,0.29,96.11,2.37
05-002,NO,Basin,NO,YES,NO,30.00,4356.1,Middle,3224.00,Yes,0.00,100.00,None,1.20,3.68,1.58,0.32,0.21,97.32,2.66
08-004A,NO,Basin,NO,NO,NO,23.00,310.4,Main,2064.00,Yes,0.00,100.00,None,1.11,4.18,1.91,0.16,0.08,41.89,1.45
08-004B,NO,Basin,NO,NO,NO,23.00,1865.91,Main,3304.00,Yes,0.00,69.91,Moderate,0.57,5.06,2.19,0.37,0.20,26.27,0.00
08-005A,NO,Basin,NO,NO,NO,22.00,1622.51,Main,3170.00,Yes,0.00,100.00,None,-0.03,4.82,2.45,0.25,0.15,37.10,0.00
08-005B,NO,Basin,NO,NO,NO,22.00,1634.82,Main,3225.00,Yes,0.00,100.00,None,0.73,5.70,2.80,0.41,0.22,37.41,0.01
08-008A,NO,Bench,NO,NO,NO,19.00,601.82,Main,1941.00,Yes,4.87,100.00,None,1.34,4.80,1.80,0.25,0.15,92.57,0.00
08-008B,NO,Bench,NO,NO,NO,19.00,61.33,Main,2167.00,Yes,50.91,100.00,None,1.02,5.71,2.43,0.28,0.16,52.49,0.00
08-008C,NO,Bench,NO,NO,NO,19.00,50.88,Main,2274.00,Yes,40.61,100.00,None,1.17,4.60,2.20,0.24,0.15,34.31,0.00
08-008D,NO,Bench,NO,NO,NO,19.00,116.1,Main,2305.00,Yes,15.57,100.00,None,1.19,6.67,2.00,0.24,0.10,40.15,0.00
08-009-A,NO,Bench,NO,NO,NO,16.00,637.31,Main,4661.00,Yes,13.77,33.04,High,0.90,4.75,0.75,0.37,0.21,97.26,0.00
08-009-B,NO,Bench,NO,NO,NO,16.00,1282.29,Main,4743.00,Yes,6.53,77.73,High,0.92,4.14,0.43,0.47,0.27,99.96,0.00
09-003,NO,Basin,NO,NO,NO,31.00,59309,South,10403.00,Yes,0.00,97.82,None,1.10,5.10,1.60,0.43,0.23,80.14,19.86
09-006,NO,Basin,NO,NO,NO,29.00,6583.38,South,9825.00,Yes,17.00,100.00,Low,1.20,9.21,5.00,0.91,0.49,4.48,4.59
09-016,NO,Bench,NO,NO,NO,19.00,1389.07,South,2061.00,Yes,13.66,48.09,High,-0.58,3.84,0.05,0.44,0.25,99.89,0.00
09-020,NO,Bench,NO,NO,YES,10.00,1015.06,South,2918.00,Yes,6.36,100.00,None,1.30,6.68,1.63,0.63,0.32,96.89,2.44
11-001,NO,Bench,NO,NO,NO,37.00,1122.8,South,21208.00,No,32.85,100.00,Moderate,0.35,10.20,4.85,0.85,0.43,8.65,2.15
11-009,NO,Bench,NO,NO,NO,30.00,1673.91,South,23825.00,No,36.41,85.45,Moderate,0.79,10.07,3.93,0.56,0.28,93.79,5.29
11-014,NO,Bench,NO,NO,NO,16.00,57.57,South,22539.00,No,29.54,100.00,Moderate,1.01,11.33,5.00,1.38,0.64,1.85,0.40
12-003,NO,Bench,NO,NO,NO,34.00,525.89,South,23208.00,No,26.50,83.32,Low,0.82,9.00,3.20,1.01,0.53,72.77,21.88
13-002,NO,Bench,NO,NO,YES,30.00,21741.89,South,26555.00,No,0.81,45.81,High,0.79,9.86,5.43,0.26,0.12,68.03,19.13
13-003,NO,Bench,NO,NO,YES,30.00,507.54,South,32370.00,No,32.53,91.16,Low,1.26,10.25,2.67,0.83,0.44,95.93,2.75
13-016,NO,Bench,NO,NO,NO,16.00,123.86,North,29231.00,No,21.37,21.97,None,0.75,1.25,1.25,NA,NA,0.00,0.00
14-001,NO,Bench,NO,NO,YES,33.00,3820.2,South,37471.00,No,5.06,100.00,None,1.70,7.00,3.80,0.33,0.18,24.29,31.23
AFN,NO,Basin,NO,NO,NO,11.00,4176.18,South,21356.00,Yes,0.00,70.26,Low,0.62,5.00,3.15,0.21,0.12,50.36,2.85
FRENCHIES,NO,Embayment,NO,NO,NO,11.00,19100.32,South,7640.00,Yes,0.00,99.77,None,0.96,4.55,3.35,0.23,0.45,1.09,14.23
GLENROSED,NO,Bench,NO,NO,NO,6.00,1598.59,South,21552.00,No,9.35,100.00,Low,0.96,3.93,0.29,0.85,0.51,98.38,1.62
GLENROSEU,NO,Bench,NO,NO,NO,6.00,1761.31,South,21942.00,No,11.70,100.00,Low,0.99,8.86,4.48,0.51,0.29,78.56,0.85
GUNDERSON,NO,Bench,NO,NO,NO,7.00,8956.42,South,22913.00,No,3.08,55.28,Moderate,0.68,7.80,2.67,0.84,0.45,89.54,9.08