SITE_ID,REFERENCE,TYPE,LOG_BOOM,LOG_FENCE,CREATION_YR,AGE,AREA_MAPPED,AREA_SQM,RIVER,ARM_1,Easting,DIST_UPRIVER,SW_INFL,PRCNT_EDGE,PRCNT_LOG1,PRCENT_LOG2,PRCNT_MUDFLAT,PRCNT_RIPARIAN,PRCNT_MARSH,GRAZING,ELEV_MEAN,ELEV_SD,ELEV_MIN,ELEV_MAX,CHANNEL_PRES,CARELYN_MH,CARELYN_SD,COM1_ARich,COM1_NRich,COM1_SimpDiv,COM1_SimpDiv_SD,COM1_ShanDiv,COM1_ShanDiv_SD,RC_Native,RC_NativeSD,RC_NonNative,RC_NonNativeSD,RC_Invasive,RC_InvasiveSD,RC_Unknown,RC_UnknownSD,Dominant_1,Dominant_2,Sub_Dom,REF_1,REF_2,,Site Description Progres,Kistritz96,
00-001,NO,Bench,NO,NO,2003,18,20.59,20,Fraser,North,484450,443.00,Yes,49.71%,0.00%,0.00%,0.00%,0.00%,100.00%,None,1.190,0.110,0.980,1.370,N,,,3,3,0.032709,,0.087697,,1,0,0,,0,0,0,,,,,REF-17,REF-05-2015,,,,
02-011,NO,Basin,NO,NO,2005,16,4266.09,5210,Fraser,North,491563,8477.00,Yes,0.00%,0.00%,0.00%,2.85%,0.00%,97.15%,None,1.006,0.4141,0.310,4.020,Y,170.950,19.340,2.950,2.450,0.173,,0.312,,96%,0.10,0%,,4%,0.10,0%,,CARELYN 47.2%,NA,NA,REF-05-2015,REF-02-2015,,Need percent cover summary results,,
02-012,NO,Bench,NO,NO,2006,15,103.81,800,Fraser,North,493347,10317.00,Yes,0.00%,,0.00%,100.00%,0.00%,0.00%,High,1.941,0.9410,0.030,2.990,Y,59,NA,6,1.25,0.583678,,0.168071,,0.033527,0.058164,0.017091,,0.935493,0.058164,0.013889,,,,,REF-02-2015,REF-05-2015,,,,
02-013,NO,Basin,NO,YES,2007,14,539.90,1610,Fraser,North,491467,8372.00,Yes,0.00%,0.18%,0.00%,0.00%,0.00%,100.00%,None,1.145,0.2369,0.670,1.640,Y,159.8182,18.09872,2.636364,1.545455,0.01702,,0.039186,,0.992453,0.009722,0.006853,,0.000422,0.009722,0.000271,,,,,REF-05-2015,REF-02-2015,,,,
02-015,NO,Bench,NO,NO,2007,14,354.41,445,Fraser,North,493343,10297.00,Yes,3.68%,2.00%,0.00%,16.77%,0.00%,83.23%,High,0.548,0.2829,-0.040,1.340,Y,,,5.800,4.000,0.346,,0.729,,25%,,0%,,75%,,0%,,,,,REF-02-2015,REF-05-2015,,,,
03-001A,NO,Bench,NO,NO,1985,36,4881.56,,Fraser,North,488892,5574.00,Yes,3.50%,7.00%,3.99%,0.00%,0.00%,96.01%,Low,1.067,0.5626,-0.630,2.580,Y,101.000,,5.154,3.000,0.131,,0.245,,68%,,12%,,20%,,0%,,,,,REF-05-2015,REF-17,,,YES,
03-001B,NO,Bench,NO,NO,1985,36,858.17,,Fraser,North,489031,5808.00,Yes,9.78%,0.00%,0.00%,0.00%,0.00%,100.00%,None,0.582,0.3988,-0.730,1.540,N,94.000,,3.000,2.300,0.105,,0.196,,98%,,1%,,1%,,0%,,,,,REF-05-2015,REF-17,,,YES,
03-002B,NO,Bench,NO,NO,2013,8,2569.27,5937,Fraser,North,489142,5954.00,Yes,8.79%,6.38%,0.00%,59.41%,0.00%,40.59%,High,0.943,0.5604,-0.200,2.100,N,71.000,,4.000,1.750,0.040,,0.077,,73%,,20%,,7%,,0%,,,,,REF-05-2015,REF-17,,,YES,
04-003,NO,Bench,NO,NO,1993,28,574.80,,Fraser,North,486619,4025.00,Yes,9.53%,2.55%,9.89%,0.00%,0.00%,90.11%,None,0.969,0.5550,-0.510,3.340,N,137.000,,5.273,3.273,0.178,,0.333,,80%,,5%,,14%,,0%,,,,,REF-17,REF-05-2015,,,,
05-002,NO,Basin,NO,YES,1991,30,4356.10,4500,Fraser,Middle,487841,3224.00,Yes,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,None,1.198,0.3018,0.712,2.902,Y,141.333,,2.211,0.632,0.531,,0.011,,28%,,0%,,72%,,0%,,,,,REF-17,REF-05-2015,,,YES table 10,
08-004A,NO,Basin,NO,NO,1998,23,310.40,1960,Serpentine,Main,511726,2064.00,Yes,0.00%,0.27%,0.00%,0.00%,0.00%,100.00%,None,1.105,0.2017,0.680,1.730,Y,99.833,,3.000,2.273,0.082,,0.158,,87%,,10%,,3%,,0%,,,,,REF-20,REF-21,,,,
08-004B,NO,Basin,NO,NO,1998,23,1865.91,1960,Serpentine,Main,512599,3304.00,Yes,0.00%,0.19%,0.00%,30.09%,0.00%,69.91%,Moderate,0.568,0.2342,-0.080,1.290,Y,60.000,,3.125,2.875,0.201,,0.368,,96%,,4%,,0%,,0%,,,,,REF-20,REF-21,,,,
08-005A,NO,Basin,NO,NO,1999,22,1622.51,1787,Nicomekl,Main,511912,3170.00,Yes,0.00%,0.09%,0.00%,0.00%,0.00%,100.00%,None,-0.028,0.6186,-0.540,1.688,N,,,3.727,2.364,0.154,,0.254,,64%,,36%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-005B,NO,Basin,NO,NO,1999,22,1634.82,1787,Nicomekl,Main,511936,3225.00,Yes,0.00%,6.70%,0.00%,0.00%,0.00%,100.00%,None,0.733,0.5206,-0.319,2.291,Y,,,4.100,2.900,0.216,,0.408,,87%,,70%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-008A,NO,Bench,NO,NO,2002,19,601.82,1425,Nicomekl,Main,510779,1941.00,Yes,4.87%,0.20%,0.00%,0.00%,0.00%,100.00%,None,1.340,0.1283,0.870,1.550,N,,,3.600,3.000,0.145,,0.250,,99%,,1%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-008B,NO,Bench,NO,NO,2002,19,61.33,1425,Nicomekl,Main,510872,2167.00,Yes,50.91%,2.29%,0.00%,0.00%,0.00%,100.00%,None,1.019,0.2087,0.502,1.33,N,,,3.857,3.286,0.157,,0.284,,99%,,1%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-008C,NO,Bench,NO,NO,2002,19,50.88,1425,Nicomekl,Main,510987,2274.00,Yes,40.61%,5.00%,0.00%,0.00%,0.00%,100.00%,None,1.169,0.1737,0.761,1.41,N,,,2.800,2.400,0.148,,0.242,,93%,,7%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-008D,NO,Bench,NO,NO,2002,19,116.10,1425,Nicomekl,Main,511028,2305.00,Yes,15.57%,0.00%,0.00%,0.00%,0.00%,100.00%,None,1.194,0.1072,0.901,1.33,N,,,4.667,4.667,0.101,,0.239,,100%,,0%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-009-A,NO,Bench,NO,NO,2005,16,637.31,1350,Nicomekl,Main,512597,4661.00,Yes,13.77%,0.00%,0.00%,66.96%,0.00%,33.04%,High,0.904,0.2040,0.588,1.668,N,120.333,,3.750,3.000,0.259,,0.466,,75%,,25%,,0%,,0%,,,,,REF-21,REF-20,,,,
08-009-B,NO,Bench,NO,NO,2005,16,1282.29,1350,Nicomekl,Main,512682,4743.00,Yes,6.53%,0.71%,0.00%,22.27%,0.00%,77.73%,High,0.920,0.1994,0.397,1.668,N,137.000,,3.000,2.571,0.160,,0.254,,100%,,0%,,0%,,0%,,,,,REF-21,REF-20,,,,
09-003,NO,Basin,NO,NO,1990,31,59309.00,60349,Fraser,South,493724,10403.00,Yes,0.00%,0.10%,0.00%,2.18%,0.00%,97.82%,None,1.103,0.3755,-0.858,2.901,Y,,,3.100,1.500,0.507,,0.196,,25%,,0%,,75%,,0%,,,,,REF-11,REF-14,,,Yes table 10,
09-006,NO,Basin,NO,NO,1992,29,6583.38,6185,Fraser,South,493975,9825.00,Yes,17.00%,1.36%,0.00%,0.00%,0.00%,100.00%,Low,1.200,0.3240,-0.833,1.987,Y,,,7.143,4.214,0.490,,0.909,,32%,,30%,,38%,,0%,,,,,REF-11,REF-10-2015,,,,
09-016,NO,Bench,NO,NO,2002,19,1389.07,,Fraser,South,486925,2061.00,Yes,13.66%,0.11%,0.00%,51.91%,0.00%,48.09%,High,-0.579,0.3605,-1.654,1.231,N,81.000,,2.500,2.500,0.136,,0.243,,100%,,0%,,0%,,0%,,,,,REF-14,REF-13,,,,
09-020,NO,Bench,NO,NO,2011,10,1015.06,,Fraser,South,487757,2918.00,Yes,6.36%,1.16%,0.00%,0.00%,0.00%,100.00%,None,1.297,0.4394,-0.316,2.882,N,126.583,,4.789,3.158,0.308,,0.539,,81%,,5%,,15%,,0%,,,,,REF-14,REF-13,,,,
11-001,NO,Bench,NO,NO,1984,37,1122.80,,Fraser,South,503392,21208.00,No,32.85%,2.50%,0.00%,0.00%,0.00%,100.00%,Moderate,0.351,0.3500,-0.461,1.749,Y,119.500,,9.100,5.350,0.428,,0.854,,63%,,16%,,21%,,2%,,,,,REF-7,REF-11-2015,,,YES,
11-009,NO,Bench,NO,NO,1991,30,1673.91,,Fraser,South,505416,23825.00,No,36.41%,1.43%,0.00%,14.55%,0.00%,85.45%,Moderate,0.788,0.3389,-0.117,1.529,N,65.00,,8.86,4.93,0.38,,0.73,,70%,,15%,,24%,,0%,,,,,REF-11-2015,REF-07,,,,
11-014,NO,Bench,NO,NO,2005,16,57.57,59.67,Fraser,South,504376,22539.00,No,29.54%,0.00%,0.00%,0.00%,0.00%,100.00%,Moderate,1.006,0.0990,0.681,1.200,N,35.500,,10.333,6.333,0.638,,1.375,,64%,,22%,,11%,,2%,,,,,REF-11-2015,REF-07,,,,
12-003,NO,Bench,NO,NO,1987,34,525.89,509,Fraser,South,505666,23208.00,No,26.50%,2.50%,0.00%,16.68%,0.00%,83.32%,Low,0.816,0.3211,0.019,1.469,N,126.571,,7.000,3.900,0.491,,0.898,,45%,,7%,,48%,,0%,,,,,REF-11-2015,REF-07,,,,
13-002,NO,Bench,NO,NO,1991,30,21741.89,18569,Fraser,South,507106,26555.00,No,0.81%,0.00%,0.00%,54.19%,0.00%,45.81%,High,0.788,0.4243,-0.699,3.564,Y,,,8.286,2.857,0.287,,0.509,,6%,,21%,,63%,,11%,,,,,REF-11-2015,REF-5,,,YES,Also FAA Monitoring 
13-003,NO,Bench,NO,NO,1991,30,507.54,,Fraser,South,511744,32370.00,No,32.53%,5.25%,0.00%,8.84%,0.00%,91.16%,Low,1.262,0.3909,0.100,1.850,N,87.778,,8.417,5.750,0.296,,0.620,,83%,,9%,,10%,,0%,,,,,REF-5,REF-4,,,,
13-016,NO,Bench,NO,NO,2005,16,123.86,71.16,Fraser,North,507921,29231.00,No,21.37%,0.00%,0.00%,78.03%,0.00%,21.97%,None,0.748,0.6887,-0.310,2.140,N,,,0.250,0.000,0.000,,0.000,,0%,,0%,,0%,,100%,,,,,REF-5,REF-11-2015,,,,
14-001,NO,Bench,NO,NO,1988,33,3820.20,,Fraser,South,516705,37471.00,No,5.06%,3.20%,0.00%,0.00%,0.00%,100.00%,None,1.698,0.5068,0.750,3.730,Y,101,,5.6,3.2,0.177775,,0.333061,,0.42176,,0.027696,,0.549138,,0.001406,,,,,REF-3,REF-4,,,,
AFN,NO,Basin,NO,NO,2010,11,4176.18,,Fraser,South,504114,21356.00,Yes,0.00%,0.00%,0.00%,29.74%,0.00%,70.26%,Low,0.616,0.2403,0.161,2.198,Y,118.539,,3.846,1.846,0.120,,0.207,,88%,,3%,,8%,,1%,,,,,REF-7,REF-11-2015,,,,
FRENCHIES,NO,Embayment,NO,NO,2010,11,19100.32,,Fraser,South,491678,7640.00,Yes,0.00%,0.00%,0.00%,0.23%,0.00%,99.77%,None,0.955,0.4394,-0.055,2.596,Y,,,3.150,1.200,0.445,,0.228,,8%,,0%,,92%,,0%,,,,,REF-11,REF-13,,,,
GLENROSED,NO,Bench,NO,NO,2015,6,1598.59,1440,Fraser,South,504404,21552.00,No,9.35%,1.07%,0.00%,0.00%,0.00%,100.00%,Low,0.962,0.1733,0.600,1.490,N,130.308,,2.786,2.500,0.240,,0.381,,96%,,0%,,4%,,0%,,,,,REF-7,REF-11-2015,,,,
GLENROSEU,NO,Bench,NO,NO,2015,6,1761.31,1765.97,Fraser,South,504673,21942.00,No,11.70%,1.00%,0.00%,0.00%,0.00%,100.00%,Low,0.992,0.4484,0.239,3.177,N,65.643,,7.476,3.476,0.285,,0.524,,73%,,19%,,4%,,4%,,,,,REF-7,REF-11-2015,,,,
GUNDERSON,NO,Bench,NO,NO,2014,7,8956.42,4750.97,Fraser,South,505429,22913.00,No,3.08%,3.73%,0.00%,44.72%,0.00%,55.28%,Moderate,0.680,0.3693,-0.620,1.809,Y,82.556,,6.200,3.533,0.360,,0.623,,78%,,4%,,16%,,1%,,,,,REF-7,REF-11-2015,,,,
REF-01,YES,Bench,NO,NO,NA,NA,9640.90,9610,Pitt,Main,520606,42406.00,No,1.41%,0.00%,0.00%,,,,,1.324,0.227,0.560,2.060,Y,94.333,,4.250,3.500,0.371,,0.616,,96%,,0%,,4%,,0%,,,,,,,,,,
REF-03,YES,Bench,NO,NO,NA,NA,9956.10,9924,Fraser,Main,517656,38345.00,No,2.40%,0.05%,0.00%,,,,,1.572,0.180,0.740,2.180,Y,88.143,,4.100,2.650,0.253,,0.270,,39%,,21%,,40%,,0%,,,,,,,,,,
REF-04,YES,Bench,NO,NO,NA,NA,10698.29,,Fraser,Main,515487,36055.00,No,2.54%,10.55%,0.00%,,,,Low,1.403,0.256,0.450,2.190,Y,101.333,,6.750,3.800,0.354,,0.610,,37%,,4%,,59%,,0%,,,,,,,,,,
REF-05,YES,Bench,NO,NO,NA,NA,10606.88,,Fraser,Main,508874,29812.00,No,4.07%,1.50%,0.00%,,,,,1.328,0.229,0.490,1.710,Y,59.500,,6.900,3.350,0.207,,0.397,,48%,,31%,,28%,,1%,,,,,,,,,,
REF-07,YES,Bench,NO,NO,NA,NA,11009.64,10974,Fraser,Main,502810,20308.00,Yes,2.86%,2.50%,0.00%,,,,Low,1.095,0.258,0.060,1.710,Y,116.667,,7.400,5.900,0.488,,0.946,,75%,,18%,,6%,,0%,,,,,,,,,,
REF-09,YES,Bench,NO,NO,NA,NA,7647.92,,Fraser,Main,498783,15597.00,Yes,2.76%,1.28%,0.00%,,,,Moderate,1.137,0.389,-0.031,2.577,Y,111.111,,8.833,6.222,0.467,,0.946,,51%,,39%,,30%,,0%,,,,,,,,,,
REF-11,YES,Bench,NO,NO,NA,NA,10257.71,10225,Fraser,Main,494278,9752.00,Yes,2.18%,2.10%,0.00%,,,,Low,0.785,0.543,-0.607,1.763,Y,120.833,,6.850,4.750,0.345,,0.635,,69%,,6%,,23%,,1%,,,,,,,,,,
REF-13,YES,Bench,NO,NO,NA,NA,11244.51,11209,Fraser,Main,490918,5066.00,Yes,1.75%,3.85%,0.00%,,,,None,1.365,0.403,-0.231,2.126,Y,143.167,,5.550,3.550,0.246,,0.465,,76%,,6%,,21%,,1%,,,,,,,,,,
REF-14,YES,Bench,NO,NO,NA,NA,10914.07,10879,Fraser,Main,488851,4122.00,Yes,2.10%,1.76%,0.00%,,,,Low,0.864,0.356,-0.737,2.147,Y,100.368,,2.750,2.650,0.099,,0.184,,100%,,0%,,0%,,0%,,,,,,,,,,
REF-17,YES,Bench,NO,NO,NA,NA,6625.90,6605,Fraser,Middle,486890,2492.00,Yes,3.21%,6.00%,0.00%,,,,Low,1.309,0.595,-0.777,3.411,N,143.875,,3.667,2.944,0.258,,0.452,,94%,,0%,,5%,,0%,,,,,,,,,,
REF-20,YES,Bench,NO,NO,NA,NA,10193.06,,Serpentine,Main,512578,3060.00,Yes,2.57%,0.00%,0.00%,,,,None,1.525,0.362,-1.020,2.420,Y,98.833,,3.500,2.000,0.276,,0.284,,62%,,19%,,19%,,0%,,,,,,,,,,
REF-21,YES,Bench,NO,NO,NA,NA,9343.83,,Nicomekl,Main,510772,1904.00,Yes,4.80%,1.30%,0.00%,,,,None,1.364,0.331,-0.859,1.750,Y,,,3.000,2.100,0.091,,0.172,,93%,,5%,,0%,,2%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,