,PLOT_CODE,MAX_LH_CM
1,01-001-1-1,NA
2,01-001-1-2,NA
3,01-001-1-3,NA
18,02-011-1-1,167
14,02-011-1-10,165
9,02-011-1-11,186
20,02-011-1-12,169
21,02-011-1-13,191
6,02-011-1-14,181
10,02-011-1-15,174
15,02-011-1-16,158
5,02-011-1-17,198
8,02-011-1-18,165
16,02-011-1-19,189
31,02-011-1-2,186
110,02-011-1-20,135
4,02-011-1-3,200
7,02-011-1-4,196
11,02-011-1-5,144
12,02-011-1-6,158
17,02-011-1-7,144
19,02-011-1-8,160
13,02-011-1-9,153
111,02-012-2-2,NA
22,02-012-2-3,NA
32,02-012-2-4,NA
41,02-012-2-6,NA
51,02-012-2-8,NA
61,02-012-2-9,NA
81,02-013-1-10,133
91,02-013-1-11,164
101,02-013-1-19,154
112,02-013-1-2,165
113,02-013-1-20,172
23,02-013-1-3,178
33,02-013-1-5,162
42,02-013-1-6,185
52,02-013-1-7,162
62,02-013-1-8,123
71,02-013-1-9,160
131,02-013-2-1,NA
141,02-013-2-21,NA
121,02-013-2-22,133
151,02-013-2-4,NA
24,02-015-1-1,NA
34,02-015-1-2,NA
43,02-015-1-3,NA
53,02-015-1-4,NA
114,02-015-1-5,NA
25,03-001A-1-10,34
122,03-001A-1-12,NA
35,03-001A-1-14,126
44,03-001A-1-17,154
54,03-001A-1-19,124
82,03-001A-1-2,NA
132,03-001A-1-21,NA
115,03-001A-1-5,103
116,03-001A-1-6,NA
92,03-001A-1-7,NA
102,03-001A-1-A,NA
63,03-001A-1-B,64
72,03-001A-1-C,102
36,03-001B-1-21,NA
55,03-001B-1-22,NA
64,03-001B-1-23,NA
45,03-001B-1-24,NA
73,03-001B-1-25,NA
83,03-001B-1-26,NA
93,03-001B-1-27,NA
117,03-001B-1-28,83
26,03-001B-1-29,105
103,03-001B-1-30,NA
118,04-003-1-1,NA
74,04-003-1-10,143
46,04-003-1-11,102
56,04-003-1-12,132
94,04-003-1-3,NA
104,04-003-1-4,NA
37,04-003-1-5,171
27,04-003-1-6,147
119,04-003-1-7,148
65,04-003-1-8,145
84,04-003-1-9,108
47,05-002-1-1,NA
142,05-002-1-10,NA
120,05-002-1-11,141
1110,05-002-1-12,NA
95,05-002-1-13,NA
105,05-002-1-14,NA
181,05-002-1-15,NA
75,05-002-1-16,NA
38,05-002-1-17,150
161,05-002-1-18,NA
152,05-002-1-2,NA
85,05-002-1-20,NA
133,05-002-1-3,NA
123,05-002-1-4,NA
57,05-002-1-5,NA
191,05-002-1-6,NA
28,05-002-1-7,133
66,05-002-1-8,NA
171,05-002-1-9,NA
58,08-004A-1-1,74
1111,08-004A-1-10,NA
76,08-004A-1-11,NA
96,08-004A-1-2,NA
86,08-004A-1-3,NA
48,08-004A-1-4,61
106,08-004A-1-5,NA
29,08-004A-1-6,146
39,08-004A-1-7,165
124,08-004A-1-8,49
67,08-004A-1-9,104
210,08-004B-1-13,NA
97,08-004B-1-14,NA
143,08-004B-1-15,NA
125,08-004B-1-16,60
310,08-004B-1-17,NA
153,08-004B-1-18,NA
49,08-004B-1-19,NA
107,08-004B-1-20,NA
59,08-004B-1-21,NA
1112,08-004B-1-22,NA
77,08-004B-1-23,NA
162,08-004B-1-24,NA
126,08-004B-1-25,NA
87,08-004B-1-26,NA
134,08-004B-1-27,NA
68,08-004B-1-28,NA
211,08-005A-1-1,NA
1113,08-005A-1-10,NA
69,08-005A-1-2,NA
78,08-005A-1-2B,NA
311,08-005A-1-3,NA
98,08-005A-1-4,NA
410,08-005A-1-5,NA
510,08-005A-1-6,NA
88,08-005A-1-7,NA
108,08-005A-1-8,NA
127,08-005A-1-9,NA
610,08-005B-1-11,NA
511,08-005B-1-12,NA
128,08-005B-1-13,NA
212,08-005B-1-14,NA
312,08-005B-1-15,NA
411,08-005B-1-16,NA
109,08-005B-1-17,NA
79,08-005B-1-18,NA
89,08-005B-1-19,NA
99,08-005B-1-20,NA
412,08-008A-1-1A,NA
213,08-008A-1-2A,NA
313,08-008A-1-3A,NA
129,08-008A-1-4A,NA
512,08-008A-1-5A,NA
314,08-008B-1-1B,NA
513,08-008B-1-2B,NA
710,08-008B-1-3B,NA
130,08-008B-1-4B,NA
413,08-008B-1-5B,NA
611,08-008B-1-6B,NA
214,08-008B-1-7B,NA
135,08-008C-1-1C,NA
215,08-008C-1-2C,NA
315,08-008C-1-3C,NA
414,08-008C-1-4C,NA
514,08-008C-1-5C,NA
136,08-008D-1-1D,NA
216,08-008D-1-2D,NA
316,08-008D-1-3D,NA
217,08-009A-1-10,170
317,08-009A-1-5,93
415,08-009A-1-6,NA
137,08-009A-1-7,98
810,08-009A-2-1,NA
612,08-009A-2-2,NA
515,08-009A-2-3,NA
910,08-009A-2-4,NA
1010,08-009A-2-8,NA
711,08-009A-2-9,NA
613,08-009B-1-11,NA
712,08-009B-1-12,NA
138,08-009B-1-14,137
911,08-009B-1-15,NA
1011,08-009B-1-16,NA
318,08-009B-1-18,NA
218,08-009B-1-20,137
811,08-009B-2-17,NA
516,08-009B-2-19,NA
416,08-009B-2-21,NA
163,09-003-1-1,NA
281,09-003-1-10,NA
291,09-003-1-11,NA
201,09-003-1-14,NA
517,09-003-1-15,NA
154,09-003-1-16,NA
30,09-003-1-17,NA
241,09-003-1-19,NA
219,09-003-1-2,NA
319,09-003-1-20,NA
321,09-003-1-21,NA
172,09-003-1-22,NA
221,09-003-1-23,NA
331,09-003-1-24,NA
192,09-003-1-3,NA
231,09-003-1-5,NA
912,09-003-1-6,NA
251,09-003-1-7,NA
261,09-003-1-8,NA
271,09-003-1-9,NA
320,09-003-2-1,NA
182,09-003-2-10,NA
1210,09-003-2-11,NA
144,09-003-2-12,NA
351,09-003-2-13,NA
139,09-003-2-14,NA
417,09-003-2-15,NA
614,09-003-2-2,NA
1012,09-003-2-3,NA
341,09-003-2-4,NA
1114,09-003-2-5,NA
140,09-003-2-6,130
220,09-003-2-7,92
713,09-003-2-8,NA
812,09-003-2-9,NA
145,09-006-1-1,NA
615,09-006-1-10,NA
1115,09-006-1-11,NA
146,09-006-1-12,NA
714,09-006-1-13,NA
813,09-006-1-14,NA
222,09-006-1-2,NA
322,09-006-1-3,NA
913,09-006-1-4,NA
418,09-006-1-5,NA
1310,09-006-1-6,NA
1013,09-006-1-7,NA
1211,09-006-1-8,NA
518,09-006-1-9,NA
715,09-016-1-1,NA
173,09-016-1-10,NA
1116,09-016-1-11,NA
155,09-016-1-12,NA
147,09-016-1-13,108
814,09-016-1-14,NA
323,09-016-1-16,NA
419,09-016-1-17,NA
193,09-016-1-18,NA
223,09-016-1-19,54
519,09-016-1-2,NA
148,09-016-1-20,NA
183,09-016-1-3,NA
1311,09-016-1-4,NA
914,09-016-1-5,NA
616,09-016-1-6,NA
1014,09-016-1-7,NA
1212,09-016-1-8,NA
164,09-016-1-9,NA
202,09-016-2-15,NA
149,09-020-1-1,NA
224,09-020-1-10,137
815,09-020-1-11,118
150,09-020-1-12,146
184,09-020-1-13,NA
1213,09-020-1-14,139
165,09-020-1-15,NA
716,09-020-1-16,176
617,09-020-1-17,80
174,09-020-1-18,NA
1312,09-020-1-19,NA
156,09-020-1-2,NA
915,09-020-1-20,96
194,09-020-1-3,NA
324,09-020-1-5,96
1117,09-020-1-6,96
420,09-020-1-7,155
520,09-020-1-8,132
1015,09-020-1-9,148
157,11-001-1-1,104
203,11-001-1-10,NA
717,11-001-1-11,142
166,11-001-1-12,NA
185,11-001-1-13,NA
816,11-001-1-14,121
1313,11-001-1-15,NA
175,11-001-1-16,NA
916,11-001-1-17,137
1016,11-001-1-18,134
1118,11-001-1-19,111
1410,11-001-1-2,NA
1214,11-001-1-20,90
225,11-001-1-3,107
325,11-001-1-4,105
421,11-001-1-5,118
158,11-001-1-6,NA
521,11-001-1-7,135
195,11-001-1-8,NA
618,11-001-1-9,130
159,11-009-1-1,NA
522,11-009-1-10,73
1314,11-009-1-11,NA
619,11-009-1-12,67
917,11-009-1-13,79
1215,11-009-1-14,63
1017,11-009-1-15,68
1119,11-009-1-16,89
160,11-009-1-2,56
226,11-009-1-3,60
326,11-009-1-5,68
422,11-009-1-6,66
718,11-009-1-7,42
817,11-009-1-9,49
1411,11-009-2-4,NA
167,11-009-2-8,NA
168,11-014-1-1,37
227,11-014-1-2,34
327,11-014-1-3,NA
918,12-003-1-1,NA
328,12-003-1-10,54
818,12-003-1-2,NA
620,12-003-1-3,129
719,12-003-1-4,136
523,12-003-1-5,123
1018,12-003-1-6,NA
228,12-003-1-7,91
169,12-003-1-8,186
423,12-003-1-9,167
272,13-002-1-1,NA
292,13-002-1-10,NA
196,13-002-1-101,NA
1610,13-002-1-102,NA
301,13-002-1-103,NA
3110,13-002-1-105,NA
329,13-002-1-109,NA
170,13-002-1-11,NA
186,13-002-1-112,NA
424,13-002-1-114,NA
524,13-002-1-120,NA
621,13-002-1-122,NA
720,13-002-1-123,NA
819,13-002-1-124,NA
919,13-002-1-125,NA
204,13-002-1-126,NA
2110,13-002-1-13,NA
229,13-002-1-15,NA
230,13-002-1-16,NA
330,13-002-1-19,NA
352,13-002-1-202,NA
176,13-002-1-3,NA
282,13-002-1-7,NA
332,13-002-1-8,NA
1120,13-002-2-101,NA
1216,13-002-2-106,NA
242,13-002-2-107,NA
1315,13-002-2-108,NA
252,13-002-2-110,NA
1412,13-002-2-117,NA
1510,13-002-2-118,NA
262,13-002-2-127,NA
1019,13-002-2-4,NA
342,13-002-2-5,NA
232,13-002-2-9,NA
1020,13-003-1-1,NA
177,13-003-1-2,138
721,13-003-1-21,31
233,13-003-1-22,91
333,13-003-1-23,89
425,13-003-1-24,92
1121,13-003-1-25,NA
920,13-003-1-26,65
525,13-003-1-3,108
820,13-003-1-4,102
1217,13-003-1-5,NA
622,13-003-1-6,74
426,13-016-2-1,NA
234,13-016-2-2,NA
178,13-016-2-3,NA
334,13-016-2-4,NA
921,14-001-1-11,NA
526,14-001-1-13,NA
427,14-001-1-16,NA
335,14-001-1-18,NA
722,14-001-1-2,NA
235,14-001-1-20,NA
179,14-001-1-4,101
1021,14-001-1-5,NA
623,14-001-1-6,NA
821,14-001-1-7,NA
180,AFN-1-1,76
922,AFN-1-15,107
1022,AFN-1-17,128
1122,AFN-1-19,139
236,AFN-1-2,139
1218,AFN-1-20,112
1511,AFN-1-21,105
1611,AFN-1-22,136
263,AFN-1-24,NA
1710,AFN-1-25,107
1316,AFN-1-27,114
187,AFN-1-28,126
197,AFN-1-29,115
336,AFN-1-3,127
273,AFN-1-31,NA
283,AFN-1-32,NA
293,AFN-1-33,NA
302,AFN-1-34,NA
428,AFN-1-4,132
527,AFN-1-5,115
624,AFN-1-6,127
723,AFN-1-7,104
822,AFN-1-9,121
205,AFN-2-10,NA
2111,AFN-2-11,NA
2210,AFN-2-12,NA
237,AFN-2-13,NA
243,AFN-2-14,NA
253,AFN-2-18,NA
1413,AFN-2-8,87
1219,03-003B-1-1,NA
238,03-003B-1-11,NA
429,03-003B-1-13,NA
1512,03-003B-1-14,NA
188,03-003B-1-16,71
1414,03-003B-1-3,NA
1317,03-003B-1-4,NA
337,03-003B-1-5,NA
724,03-003B-2-1,NA
625,03-003B-2-10,NA
823,03-003B-2-14,NA
1023,03-003B-2-15,NA
1123,03-003B-2-17,NA
528,03-003B-2-19,NA
923,03-003B-2-4,NA
189,Frenchies-1-1-02A,NA
239,Frenchies-1-1-03A,NA
924,Frenchies-1-2-01A,NA
1024,Frenchies-1-2-02A,NA
1124,Frenchies-1-3-01B,NA
1220,Frenchies-1-3-03A,NA
1318,Frenchies-1-3-04A,NA
1415,Frenchies-1-4-02A,NA
824,Frenchies-1-4-03A,NA
1513,Frenchies-1-5-01B,NA
1612,Frenchies-1-5-02B,NA
338,Frenchies-1-5-03B,NA
1711,Frenchies-1-7-03A,NA
430,Frenchies-1-7-04A,NA
529,Frenchies-1-8-01A,NA
1810,Frenchies-1-8-02B,NA
626,Frenchies-1-8-03B,NA
198,Frenchies-1-8-04B,NA
206,Frenchies-1-9-03A,NA
725,Frenchies-1-9-04A,NA
339,Glenrose down-1-1,135
1221,Glenrose down-1-10,132
190,Glenrose down-1-11,116
1416,Glenrose down-1-13,NA
530,Glenrose down-1-15,122
1125,Glenrose down-1-16,154
627,Glenrose down-1-17,135
1025,Glenrose down-1-18,128
726,Glenrose down-1-20,145
925,Glenrose down-1-4,137
431,Glenrose down-1-6,131
825,Glenrose down-1-7,127
240,Glenrose down-1-8,138
1319,Glenrose down-1-9,94
207,Glenrose upstream-1-1,NA
432,Glenrose upstream-1-10,98
1514,Glenrose upstream-1-11,NA
826,Glenrose upstream-1-12,77
926,Glenrose upstream-1-13,90
1026,Glenrose upstream-1-14,51
628,Glenrose upstream-1-15,7
1712,Glenrose upstream-1-16,NA
531,Glenrose upstream-1-17,31
199,Glenrose upstream-1-18,NA
1126,Glenrose upstream-1-19,83
2112,Glenrose upstream-1-2,NA
727,Glenrose upstream-1-20,85
1417,Glenrose upstream-1-21,60
1613,Glenrose upstream-1-3,NA
1100,Glenrose upstream-1-4,74
244,Glenrose upstream-1-5,92
340,Glenrose upstream-1-6,91
1811,Glenrose upstream-1-7,NA
1222,Glenrose upstream-1-8,62
1320,Glenrose upstream-1-9,18
728,Gunderson-1-10,96
1321,Gunderson-1-13,NA
245,Gunderson-1-14,NA
254,Gunderson-1-16,NA
433,Gunderson-1-19,86
1101,Gunderson-1-2,69
827,Gunderson-1-20,106
246,Gunderson-1-21,56
343,Gunderson-1-22,57
1027,Gunderson-1-23,77
1910,Gunderson-1-24,NA
1127,Gunderson-1-25,NA
1812,Gunderson-1-3,NA
927,Gunderson-1-5,78
629,Gunderson-1-6,118
2310,Gunderson-10-16,NA
264,Gunderson-11-16,NA
1418,Gunderson-12-16,NA
532,Gunderson-13-16,107
274,Gunderson-14-16,NA
303,Gunderson-15-16,NA
1515,Gunderson-2-11,NA
344,Gunderson-2-16,NA
1223,Gunderson-2-4,NA
1614,Gunderson-2-7,NA
1713,Gunderson-2-8,NA
3111,Gunderson-2-9,NA
284,Gunderson-3-16,NA
294,Gunderson-4-16,NA
2113,Gunderson-5-16,NA
3310,Gunderson-6-16,NA
2211,Gunderson-7-16,NA
3210,Gunderson-8-16,NA
208,Gunderson-9-16,NA
434,Ref1-1-13,102
630,Ref1-1-15,89
2114,Ref1-1-23,NA
2212,Ref1-1-24,NA
1028,Ref1-2-1,NA
1516,Ref1-2-10,NA
1615,Ref1-2-11,NA
1714,Ref1-2-12,NA
533,Ref1-2-14,87
729,Ref1-2-16,93
1813,Ref1-2-18,NA
1911,Ref1-2-19,NA
1102,Ref1-2-2,87
209,Ref1-2-20,NA
828,Ref1-2-21,120
928,Ref1-2-22,120
247,Ref1-2-3,30
1128,Ref1-2-5,NA
1224,Ref1-2-6,NA
1322,Ref1-2-7,NA
1419,Ref1-2-8,NA
345,Ref1-2-9,70
1103,REF3-1-1,115
730,REF3-1-10,92
346,REF3-1-11,82
2010,REF3-1-12,NA
829,REF3-1-13,NA
1029,REF3-1-14,NA
435,REF3-1-15,84
1129,REF3-1-16,NA
1225,REF3-1-17,NA
929,REF3-1-18,NA
1912,REF3-1-19,NA
534,REF3-1-2,98
248,REF3-1-20,95
631,REF3-1-3,51
1517,REF3-1-4,NA
1616,REF3-1-5,NA
1715,REF3-1-6,NA
1420,REF3-1-7,NA
1323,REF3-1-8,NA
1814,REF3-1-9,NA
1104,Ref4-1-1,71
1518,Ref4-1-10,NA
1617,Ref4-1-11,NA
1716,Ref4-1-12,NA
632,Ref4-1-13,117
1815,Ref4-1-14,NA
731,Ref4-1-15,68
1913,Ref4-1-16,NA
830,Ref4-1-17,130
2011,Ref4-1-18,NA
930,Ref4-1-19,67
249,Ref4-1-2,62
1030,Ref4-1-20,121
347,Ref4-1-3,107
1130,Ref4-1-4,NA
436,Ref4-1-5,104
1226,Ref4-1-6,NA
1324,Ref4-1-7,NA
535,Ref4-1-8,144
1421,Ref4-1-9,NA
348,Ref5-1-1,NA
536,Ref5-1-10,NA
1519,Ref5-1-11,NA
1131,Ref5-1-12,NA
1031,Ref5-1-13,NA
1227,Ref5-1-14,NA
1422,Ref5-1-15,NA
931,Ref5-1-16,NA
437,Ref5-1-17,NA
1914,Ref5-1-18,NA
1325,Ref5-1-19,NA
732,Ref5-1-2,NA
1618,Ref5-1-20,NA
831,Ref5-1-3,NA
1105,Ref5-1-4,62
633,Ref5-1-5,NA
2012,Ref5-1-6,NA
1816,Ref5-1-7,NA
1717,Ref5-1-8,NA
250,Ref5-1-9,57
1106,Ref7-1-1,115
255,Ref7-1-10,119
1915,Ref7-1-11,NA
1718,Ref7-1-12,NA
2013,Ref7-1-13,NA
932,Ref7-1-14,119
1032,Ref7-1-15,128
733,Ref7-1-16,105
349,Ref7-1-17,123
537,Ref7-1-18,94
1520,Ref7-1-19,NA
1326,Ref7-1-2,NA
634,Ref7-1-20,128
438,Ref7-1-3,125
1817,Ref7-1-4,NA
1228,Ref7-1-5,107
1132,Ref7-1-6,109
832,Ref7-1-7,128
1619,Ref7-1-8,NA
1423,Ref7-1-9,NA
1107,Ref9-1-1,95
350,Ref9-1-12,113
439,Ref9-1-13,123
538,Ref9-1-14,101
1327,Ref9-1-15,NA
635,Ref9-1-16,149
734,Ref9-1-17,163
833,Ref9-1-18,104
933,Ref9-1-19,44
1521,Ref9-1-2,NA
1818,Ref9-1-20,NA
1424,Ref9-1-21,NA
1719,Ref9-1-22,NA
1620,Ref9-1-3,NA
1033,Ref9-1-4,NA
1133,Ref9-1-5,NA
1229,Ref9-1-6,NA
256,Ref9-1-9,108
539,Ref11-1-1,134
1134,Ref11-1-10,122
1916,Ref11-1-11,NA
440,Ref11-1-12,163
1720,Ref11-1-13,NA
735,Ref11-1-14,88
353,Ref11-1-15,139
257,Ref11-1-16,144
1328,Ref11-1-17,NA
1621,Ref11-1-18,NA
2014,Ref11-1-19,NA
934,Ref11-1-2,46
1108,Ref11-1-20,103
1230,Ref11-1-3,148
1522,Ref11-1-4,NA
1034,Ref11-1-5,122
834,Ref11-1-6,104
636,Ref11-1-7,137
1425,Ref11-1-8,NA
1819,Ref11-1-9,NA
1231,REF13-1-1,147
1721,REF13-1-10,141
835,REF13-1-11,118
736,REF13-1-12,121
1622,REF13-1-13,146
540,REF13-1-14,118
1820,REF13-1-15,137
935,REF13-1-16,145
1109,REF13-1-17,161
1329,REF13-1-18,126
354,REF13-1-19,158
1426,REF13-1-2,128
1035,REF13-1-20,151
441,REF13-1-3,201
637,REF13-1-4,130
258,REF13-1-5,137
1135,REF13-1-6,165
1523,REF13-1-7,147
2015,REF13-1-8,NA
1917,REF13-1-9,NA
1918,REF14-1-1,120
2016,REF14-1-10,NA
1232,REF14-1-11,85
1036,REF14-1-12,113
638,REF14-1-13,139
1427,REF14-1-14,95
1821,REF14-1-15,85
1136,REF14-1-16,87
259,REF14-1-17,17
1623,REF14-1-18,113
541,REF14-1-19,90
355,REF14-1-2,129
442,REF14-1-20,140
1330,REF14-1-3,117
1137,REF14-1-4,109
1722,REF14-1-5,72
936,REF14-1-6,102
836,REF14-1-7,139
737,REF14-1-8,89
1524,REF14-1-9,66
837,Ref-17-1-1,170
443,Ref-17-1-10,146
1138,Ref-17-1-11,NA
356,Ref-17-1-12,142
1428,Ref-17-1-13,NA
738,Ref-17-1-15,129
937,Ref-17-1-16,NA
260,Ref-17-1-17,163
1037,Ref-17-1-18,NA
1139,Ref-17-1-2,132
1624,Ref-17-1-20,NA
542,Ref-17-1-3,160
1331,Ref-17-1-4,NA
1525,Ref-17-1-5,NA
1233,Ref-17-1-6,NA
639,Ref-17-1-7,109
1822,Ref-17-1-8,NA
1723,Ref-17-1-9,NA
357,REF-20-1-1,99
543,REF-20-1-10,121
2017,REF-20-1-11,NA
1526,REF-20-1-12,NA
1332,REF-20-1-13,NA
1038,REF-20-1-14,68
1724,REF-20-1-15,NA
739,REF-20-1-16,107
640,REF-20-1-17,124
1823,REF-20-1-18,NA
444,REF-20-1-19,96
938,REF-20-1-2,114
838,REF-20-1-20,69
1429,REF-20-1-3,NA
1234,REF-20-1-4,89
1140,REF-20-1-5,116
1919,REF-20-1-6,NA
265,REF-20-1-7,109
1625,REF-20-1-8,NA
1141,REF-20-1-9,74
1039,REF-21-1-1,NA
1527,REF-21-1-10,NA
266,REF-21-1-11,NA
358,REF-21-1-12,NA
641,REF-21-1-13,NA
544,REF-21-1-14,NA
939,REF-21-1-15,NA
1824,REF-21-1-16,NA
740,REF-21-1-17,NA
445,REF-21-1-18,NA
1235,REF-21-1-19,NA
1725,REF-21-1-2,NA
1333,REF-21-1-20,NA
1142,REF-21-1-3,NA
1430,REF-21-1-4,NA
839,REF-21-1-5,NA
2018,REF-21-1-6,NA
1143,REF-21-1-7,NA
1626,REF-21-1-8,NA
1920,REF-21-1-9,NA
